price,bedrooms,bathrooms,parking space,Type of Property,Floor Size,Levies,Pets Allowed,Pool,Erf Size,Rates and Taxes
R 689 000,1,1,1,Apartment/Flat,50m²,R2082,0.0,1,,R338
R 6 500 000 - R 7 990 000,,,,,,,,0,,
R 12 000 000,3,3,5,Apartment/Flat,318m²,R12497,0.0,1,46180m²,R7740
R 3 450 000,4,2.5,3,House,,,1.0,1,1086m²,
R 1 499 000,4,2.5,2,Townhouse,235m²,R2194,,0,7953m²,R1032
R 990 000,3,2,2,Townhouse,99m²,,0.0,1,99m²,R868
R 7 250 000,4,4.5,2,House,406m²,,1.0,1,1685m²,R2500
R 640 000,2,1,1,Townhouse,61m²,R820,,1,,
R 650 000,2,1,,Townhouse,112m²,,,0,496m²,R288
R 899 000,3,2,5,House,112m²,,1.0,0,440m²,R350
POA,3,3,4,House,,,,1,1914m²,
R 770 000,5,3,2,House,,,1.0,0,477m²,R355
R 595 000,2,1,2,House,,,1.0,0,564m²,R316
R 595 000,3,1,1,House,,,1.0,0,480m²,R271
R 2 795 000,5,3,8,House,,,1.0,1,3271m²,R765
R 715 000,2,2,1,Townhouse,96m²,R1350,1.0,1,32354m²,R450
R 4 200 000,3,2,3,House,,R1700,,0,507m²,R2200
R 595 000,4,2,2,House,,,1.0,0,378m²,R267
R 3 650 000,4,2,3,House,,,1.0,0,,
R 649 000,,,,,,,,0,,
R 250 000,2,1,,Apartment/Flat,68m²,,,0,541m²,R158
R 3 750 000,4,3,4,House,,,1.0,1,1086m²,
R 1 250 000,3,2,,House,96m²,,,0,493m²,R450
R 1 150 000,3,2,,House,93m²,R450,,0,436m²,
R 3 999 000,,,,CommercialProperty,1800m²,,,0,461m²,
R 2 400 000,3,2,3,House,350m²,,1.0,0,991m²,R775
R 680 000,2,1,1,Apartment/Flat,,R490,0.0,1,,R460
R 5 999 000,3,2,2,House,,,1.0,1,3350m²,
R 1 599 000,4,2,10,House,220m²,,1.0,0,864m²,R400
R 499 000,2,1,2,Townhouse,,,0.0,0,,
R 350 000,,,,Apartment/Flat,,,,0,,
R 390 000,,,,Apartment/Flat,,,,0,,
R 1 395 000,5,3,3,House,,,,1,612m²,R500
R 1 395 000,6,4,7,House,,,1.0,0,864m²,R400
R 1 499 000,3,2,4,House,,,,0,496m²,R561
R 4 299 500,3,2,1,House,1m²,,1.0,1,1230m²,R2600
R 732 740,3,2,,House,56m²,,1.0,0,180m²,R300
R 1 350 000,3,2,2,Townhouse,136m²,,0.0,1,,
R 4 575 000,2,2,2,Apartment/Flat,164m²,R6119,0.0,1,,R3100
R 680 000,2,1,1,Townhouse,,R490,0.0,1,,R450
R 2 250 000,3,2.5,2,House,250m²,,1.0,1,1147m²,R938
R 520 000,2,1.5,1,Townhouse,128m²,R512,0.0,0,3810m²,R327
R 669 000,2,1,2,House,50m²,,1.0,0,200m²,R300
R 719 000,1,1,2,Apartment/Flat,51m²,,0.0,1,51m²,R510
R 799 000,3,1,1,House,,,1.0,0,600m²,
R 620 000,1,1,1,Apartment/Flat,52m²,R1873,0.0,1,,R360
R 700 000,2,1,,Townhouse,68m²,R1500,0.0,1,,R420
R 1 250 000,3,2,2,House,,,0.0,0,,
R 3 169 000,2,2,2,Apartment/Flat,169m²,R5800,0.0,0,2210m²,R2279
R 1 180 000,3,3,1,House,,,,0,489m²,
R 780 000,3,1,,House,,,0.0,0,,
R 699 000,2,1,,Apartment/Flat,,,,1,,
R 685 000,3,2,4,House,,,,0,233m²,R800
R 700 000,1,1,1,Apartment/Flat,,,,1,,
R 3 999 000 - R 4 249 000,,,,,,,,0,,
R 2 500 000,3,2,5,House,,,,1,,
R 732 700,3,2,1,House,56m²,,1.0,0,150m²,R300
R 185 000,1,1,,Apartment/Flat,35m²,R697,,0,,R450
POA,,,,CommercialProperty,,,,0,495m²,
R 4 990 000,3,3.5,2,Apartment/Flat,178m²,,,0,,
POA,,,,CommercialProperty,991m²,,,0,991m²,R1
R 900 000,3,2,3,House,426m²,,,0,420m²,R500
R 3 499 000,3,2.5,2,House,340m²,,1.0,1,1495m²,R4500
R 1 195 000,3,2,1,Townhouse,130m²,R2055,1.0,1,,R346
R 1 025 000,3,2,2,Townhouse,208m²,R1200,,0,,R783
R 2 090 000,1,1,1,Apartment/Flat,55m²,,,0,,
R 3 400 000,4,2.5,2,Apartment/Flat,219m²,R3718,0.0,0,,R1130
R 3 495 000,,,,CommercialProperty,,,,0,495m²,R3039
R 849 000,3,1.5,2,House,,,,0,443m²,R484
R 1 049 000,4,3.5,2,House,,,,0,461m²,R717
R 600 000,1,1,,Apartment/Flat,,,,0,,
R 1 395 000,2,2,2,Apartment/Flat,,R1932,,1,,R605
R 750 000,3,1,3,House,,,1.0,0,250m²,
R 440 000,1,1,,Apartment/Flat,55m²,R897,0.0,1,,R282
R 2 750 000,4,2,2,House,,,,1,1086m²,R1852
POA,,,,IndustrialProperty,570m²,,,0,573m²,R2493
R 815 000,3,1,2,House,65m²,,1.0,0,200m²,R300
R 665 000,2,1,1,Apartment/Flat,,R1200,,0,,R150
R 169 000,,1,,Apartment/Flat,35m²,,0.0,0,2482m²,
R 950 000,3,3,,House,,,,0,,
R 1 950 000,2,2,2,Apartment/Flat,101m²,R2900,1.0,0,,R1400
R 665 000,2,1,1,House,,R800,,0,,R280
R 1 945 000,2,2,2,Apartment/Flat,161m²,R2533,,1,5000m²,R1011
R 5 799 000,4,3,7,House,550m²,,1.0,0,1790m²,R3950
R 1 464 875,3,2,2,House,100m²,R850,1.0,0,250m²,R1000
R 695 000,2,1.5,3,Townhouse,110m²,R1050,1.0,0,,R320
R 155 000,1,1,,Apartment/Flat,,R1618,,0,,
R 1 250 000,3,1,4,House,,,,0,495m²,
R 1 500 000,2,2,1,Apartment/Flat,169m²,R4861,0.0,1,,R771
R 550 000,2,1,,Apartment/Flat,45m²,R600,0.0,0,17161m²,R371
R 3 794 950,,,,IndustrialProperty,1746m²,,,0,2200m²,
R 3 355 000 - R 3 730 000,,,,,,,,0,,
R 2 900 000,6,3,2,House,,,1.0,1,496m²,
R 949 000,1,1,,Apartment/Flat,67m²,R1800,,1,,
R 1 200 000,3,2,3,House,,,0.0,0,495m²,R495
R 1 560 000,1,1,1,Apartment/Flat,55m²,R1570,,1,,
R 399 000,1,1,,Apartment/Flat,50m²,,0.0,0,,
R 1 520 000,2,2,1,House,,,,0,431m²,
R 495 000,1,1,1,Apartment/Flat,60m²,R2000,1.0,0,938m²,R100
R 665 000,2,1,1,Apartment/Flat,51m²,R1261,0.0,0,,R150
R 1 050 000,,,,House,,,,0,,
R 2 890 000,4,3,8,House,360m²,,1.0,1,1300m²,R720
R 780 000,1,1,1,Townhouse,59m²,R1600,,1,12133m²,R566
R 4 495 000,4,2.5,2,House,,,1.0,1,995m²,
R 1 900 000,6,3,1,House,,,0.0,0,,
R 7 500 000,3,2,2,House,,,,0,600m²,R800
R 2 350 000,2,2,2,Apartment/Flat,102m²,R2668,0.0,1,,R1779
R 1 800 000,6,3,,House,,,,0,495m²,
R 2 400 000,,,,CommercialProperty,,,,0,,
R 750 000,,,,CommercialProperty,,,,0,,
R 8 500 000,,,,House,,,,0,,
R 1 599 000,4,3,5,House,,,1.0,0,991m²,
R 600 000,3,1,1,House,,,,0,400m²,R124
R 1 295 000,2,2,1,Townhouse,97m²,R1436,,1,3605m²,R400
R 1 500 000,3,2,3,House,,,1.0,0,594m²,
R 3 499 000,3,3,6,House,,,1.0,1,495m²,R2205
R 7 485 000,6,4,4,House,,,1.0,1,1854m²,R3900
R 977 500,1,1,1,Apartment/Flat,70m²,R1662,0.0,1,,
R 600 000,1,1,1,Townhouse,50m²,R1020,0.0,0,,
R 650 000,2,1,1,House,,,,0,,
