price,bedrooms,bathrooms,Type of Property,Erf Size,Floor Size,Levies,Pool,Rates and Taxes,parking space,Pets Allowed
R 1 699 000,3.0,2.0,House,,246m²,R2400,0,R1280,4.0,
R 670 000,2.0,2.0,Townhouse,17315m²,69m²,R1200,0,R420,2.0,0.0
R 750 000,3.0,2.0,House,77210m²,109m²,R1069,0,R385,5.0,1.0
R 4 950 000,3.0,2.0,House,1018m²,,,0,R2750,3.0,
R 4 500 000,,,CommercialProperty,1012m²,,,0,,,
R 700 000,2.0,1.0,Townhouse,,77m²,R1412,0,R137,2.0,0.0
R 1 995 000,3.0,2.0,House,1000m²,,,0,R1001,4.0,1.0
R 3 355 000 - R 3 730 000,,,,,,,0,,,
R 1 650 000,2.0,2.0,Apartment/Flat,,135m²,R3596,0,R366,,
R 405 000,1.0,1.0,Apartment/Flat,1000m²,26m²,R760,0,R200,,
R 3 095 000,4.0,2.5,House,743m²,,,0,R1759,2.0,1.0
R 2 350 000,1.0,1.0,House,495m²,,,0,,2.0,
R 850 000,1.0,1.0,Apartment/Flat,,44m²,R2298,0,R363,1.0,0.0
R 1 700 000,2.0,2.0,Apartment/Flat,,97m²,R2616,0,R1400,2.0,1.0
R 765 000,2.0,1.0,Apartment/Flat,,56m²,R750,0,R500,2.0,0.0
R 950 000,4.0,1.0,House,476m²,,,0,R602,2.0,
R 1 650 000,3.0,2.0,Townhouse,,126m²,R3129,0,R670,1.0,1.0
R 650 000,1.0,1.0,Apartment/Flat,,75m²,R2084,0,R330,,0.0
R 615 000,1.0,1.0,Apartment/Flat,,50m²,R2000,0,R814,1.0,0.0
R 6 750 000,,,IndustrialProperty,4142m²,2674m²,,0,,,
R 1 750 000,3.0,2.0,House,595m²,,,0,R1600,1.0,
R 2 700 000,1.0,1.0,Apartment/Flat,113m²,52m²,R2300,0,R1900,1.0,0.0
R 750 000,1.0,1.0,Apartment/Flat,,68m²,R2999,0,R425,,0.0
R 340 000,0.5,1.0,Apartment/Flat,500m²,30m²,R2300,0,R900,,0.0
R 3 995 000,8.0,8.0,House,833m²,,,0,R930,5.0,
