price,bedrooms,bathrooms,parking space,Type of Property,Erf Size,Floor Size,Levies,Rates and Taxes,Pool,Pets Allowed
R 525 000,3,2,1,Apartment/Flat,,128m²,R2195,R330,0,0.0
R 3 200 000,3,3,3,House,770m²,400m²,,R1360,1,
R 14 000 000,3,3.5,,Apartment/Flat,514m²,316m²,R2714,R2700,0,
R 3 975 000,6,4,4,House,,1004m²,,R1774,0,1.0
R 4 500 000,3,2.5,2,Apartment/Flat,,212m²,R2500,,1,
R 8 500 000,5,3,1,House,876m²,480m²,,R3400,1,1.0
R 6 250 000,2,2.5,2,Apartment/Flat,,171m²,R6612,R4023,1,1.0
R 773 000,3,1,2,House,300m²,60m²,,R300,0,1.0
R 839 000,2,1,1,Apartment/Flat,56m²,56m²,R1300,R250,0,
R 1 500 000,2,1,,Apartment/Flat,,120m²,R4900,R1000,0,
R 1 695 000,3,1,,House,495m²,350m²,,R3031,0,0.0
R 2 290 000,4,3,4,House,1216m²,,,R1044,1,1.0
R 755 000,2,1,1,Apartment/Flat,,56m²,R600,R500,0,0.0
R 995 000,2,2,2,Townhouse,54125m²,84m²,R1300,R640,1,0.0
R 500 000,2,1,2,House,300m²,50m²,,R500,0,1.0
R 1 990 000,4,2,3,House,413m²,,,R736,0,1.0
R 5 704 000,,,,CommercialProperty,184m²,184m²,,,0,
R 330 000,2,1,1,Townhouse,992m²,63m²,R801,R176,0,0.0
R 995 000,3,2,2,Townhouse,,73m²,R1138,,0,0.0
R 750 000,3,2,10,House,455m²,280m²,,R482,0,0.0
R 1 350 000,3,2,2,Apartment/Flat,,,R4159,R400,0,0.0
R 3 480 000,3,2.5,7,House,743m²,,,R1249,1,1.0
R 3 500 000,4,2,2,House,706m²,20m²,,R1450,0,1.0
R 3 950 000,3,2,2,House,1020m²,,,,0,1.0
R 1 700 000,,,,CommercialProperty,902m²,,,,0,
R 30 000 000,,,,CommercialProperty,1470m²,3300m²,,,0,
R 1 595 000,2,1,3,Apartment/Flat,5533m²,91m²,R2600,,1,1.0
R 1 699 000,3,3,2,Townhouse,246m²,246m²,R2400,R1280,0,1.0
R 750 000,1,1,,Apartment/Flat,,53m²,R5,R493,0,
R 240 000,1,1,,Apartment/Flat,4359m²,52m²,R1000,R113,0,0.0
R 499 000,,,,VacantLand/Plot,495m²,,,R580,0,
R 425 000,0.5,1,,Apartment/Flat,,36m²,R967,,0,
R 2 900 000,4,3.5,4,House,1604m²,,,R1775,1,1.0
R 480 000,0.5,1,,Apartment/Flat,,40m²,,R300,0,
R 1 695 000,2,2,2,Apartment/Flat,,112m²,R2300,R479,1,0.0
R 410 000,1,1,,Apartment/Flat,695m²,40m²,,,1,
R 1 495 000,5,2,4,House,812m²,230m²,,R1100,1,1.0
R 1 464 875,3,2,2,House,240m²,100m²,R900,R1600,0,1.0
R 1 200 000,2,1,1,House,496m²,196m²,,R733,0,1.0
R 1 700 000,3,2,3,House,1983m²,,,R1000,0,
R 1 250 000,1,1,1,Apartment/Flat,,88m²,R2476,R800,0,
R 5 200 000,4,3,,House,1458m²,367m²,,R2665,1,1.0
R 839 000,2,1,1,Apartment/Flat,56m²,56m²,,,0,0.0
R 1 400 000,3,2.5,2,House,496m²,,,R1337,1,1.0
R 799 999,2,2,1,Townhouse,9408m²,127m²,R1200,R836,1,0.0
R 675 000,2,1,1,House,,51m²,R820,R150,0,
R 3 800 000,2,2,1,House,669m²,,,R1400,0,1.0
R 1 350 000,1,1,,Apartment/Flat,4196m²,80m²,R1233,R194,0,
R 1 095 000,2,2,2,Townhouse,1247m²,83m²,R1700,R300,1,0.0
R 799 000,1,1,1,Apartment/Flat,10390m²,45m²,R748,R464,1,0.0
R 4 399 000,3,3.5,4,House,498m²,,,,0,
R 1 825 000,3,2,2,House,1160m²,,,,0,1.0
R 195 000,,1,,Apartment/Flat,,,R1030,R400,0,
R 638 000,2,1,,House,150m²,40m²,,R300,0,1.0
R 4 500 000,3,2,2,House,1090m²,400m²,,R2000,1,1.0
R 1 500 000,3,1,5,House,496m²,,,R729,0,0.0
R 1 250 000,8,2,,House,748m²,,,R2000,0,
R 1 000 000,3,2,2,Apartment/Flat,112m²,112m²,R1000,R400,0,
R 3 200 000,3,2.5,2,Townhouse,,252m²,R1980,R1260,1,0.0
R 755 000,2,1,1,Apartment/Flat,,56m²,R1300,R250,0,
R 2 010 000,3,2,2,House,,,,,0,
R 8 500 000,2,2.5,2,Apartment/Flat,310m²,197m²,R2583,R2000,0,1.0
R 1 850 000,,,,CommercialProperty,,,R5571,,0,
R 2 900 000,3,2,4,House,922m²,,,,0,1.0
R 920 000,3,2,2,Townhouse,,95m²,R1013,R242,0,0.0
R 1 200 000,2,2,,Apartment/Flat,1041m²,87m²,,,0,
R 1 300 000,4,2,2,House,615m²,,,R780,1,1.0
R 21 805 000,,,,CommercialProperty,623m²,536m²,R0,R0,0,
R 490 000,4,1.5,1,Apartment/Flat,,121m²,R1200,,0,0.0
R 1 300 000,4,1,2,House,516m²,159m²,,R473,0,1.0
R 495 000,2,1,,Townhouse,,95m²,R1123,R177,0,
R 1 100 000,2,1,,House,1060m²,1059m²,,R426,0,
R 345 000,2,1,2,Apartment/Flat,1221m²,62m²,R500,R250,0,0.0
R 765 000,2,1,1,Apartment/Flat,56m²,56m²,R1335,R150,0,0.0
R 1 300 000,4,2,2,Apartment/Flat,,170m²,R2700,R650,1,0.0
R 550 000,2,1,1,Apartment/Flat,,59m²,R2200,,0,
R 1 299 999,3,2,,Townhouse,10838m²,101m²,,R300,0,0.0
R 749 000,2,1,1,Apartment/Flat,74m²,74m²,R1000,R420,0,0.0
R 2 300 000,3,2,5,House,1487m²,240m²,,R1200,1,1.0
R 1 550 000,3,2,4,House,612m²,,,R590,1,1.0
R 765 000,2,1,1,Apartment/Flat,56m²,56m²,R750,R180,0,
R 200 000,1,1,,Apartment/Flat,,,R1600,,0,
R 280 000,0.5,1,,Apartment/Flat,,27m²,R950,,0,
R 11 190 000,4,5,4,House,908m²,558m²,,,1,1.0
R 4 450 000,2,2,4,House,1115m²,,,R2353,0,
R 1 295 000,3,1,4,House,495m²,,,R5500,1,
R 1 990 000,3,2,2,Apartment/Flat,,154m²,R3239,R1790,0,
R 3 399 000,3,2,2,House,,495m²,,R2000,1,1.0
R 4 000 000,,,,CommercialProperty,700m²,1400m²,,R6000,0,
R 1 100 000,3,2,5,House,495m²,210m²,,R500,0,1.0
R 670 000,3,2.5,1,House,317m²,142m²,,R579,0,1.0
R 3 750 000,3,2,5,House,1016m²,400m²,,,1,
R 1 800 000,3,2,2,House,944m²,,,,1,1.0
R 499 000,1,1,,Townhouse,,48m²,R1000,,0,
R 1 260 000,5,2,,House,500m²,200m²,,R450,1,
R 1 230 000,3,2,,Townhouse,,74m²,R880,,0,0.0
R 650 000,2,1,1,Apartment/Flat,,49m²,R1055,R331,1,0.0
R 2 400 000,3,2,3,House,1411m²,,R550,R1150,1,1.0
R 8 000 000,4,4,5,Townhouse,895m²,450m²,,,1,1.0
R 520 000,1.5,1,,Apartment/Flat,,74m²,R1997,,0,
R 5 600 000,,,,CommercialProperty,174m²,174m²,,,0,
R 860 000,,,,IndustrialProperty,115m²,115m²,,,0,
R 4 799 000,3,2,,Townhouse,469m²,325m²,R2599,,0,
R 22 000 000,16,18,22,House,3100m²,1200m²,,R12615,1,1.0
R 699 000,3,2,2,Apartment/Flat,6061m²,57m²,R1300,R406,1,0.0
R 3 650 000,4,3.5,7,House,1707m²,,,,1,
R 2 950 000,3,2.5,1,Townhouse,39846m²,119m²,R2885,R1877,1,1.0
R 14 000 000,,,,CommercialProperty,980m²,980m²,,,0,
R 1 450 000,3,2,,Townhouse,1ha,,R1000,R500,0,1.0
R 2 999 000,2,2,2,Apartment/Flat,,74m²,R3200,R2125,1,1.0
R 1 499 000,3,2,2,House,1007m²,192m²,,R692,0,
R 1 799 000,2,2,,Townhouse,,87m²,R1108,R2174,1,0.0
R 2 700 000,2,2,1,Apartment/Flat,,196m²,R5102,R1229,1,0.0
R 98 000 000,,,,CommercialProperty,3500m²,3500m²,,,0,
R 760 000,3,1,1,House,495m²,,,R700,0,
R 750 000,3,3,1,House,786m²,,,R2000,0,
R 1 150 000,1,1,1,Apartment/Flat,,56m²,R2000,R500,1,0.0
POA,2,1,2,Apartment/Flat,,,R1530,R700,0,
R 3 254 900,2,2,,Apartment/Flat,80.5m²,80m²,R2000,,0,
R 8 500 000,,,,IndustrialProperty,4000m²,3000m²,,,0,
R 1 280 000,3,2,2,Townhouse,,80m²,R2300,R660,0,0.0
R 1 599 000,3,2,3,House,1091m²,,,,1,1.0
R 1 750 000,5,2,6,House,496m²,400m²,,R541,0,1.0
R 1 999 000,3,2,4,House,1148m²,1148m²,,R950,1,1.0
R 7 800 000,,,,CommercialProperty,892m²,,,,0,
R 975 000,2,2,1,Apartment/Flat,84m²,84m²,,R680,1,0.0
R 739 000 - R 789 000,,,,,,,,,0,
R 699 000,1,1,1,Townhouse,12133m²,59m²,R900,R1746,0,
R 12 500 000,4,5,4,House,1959m²,,,R6900,1,1.0
R 625 000,2,1.5,5,Townhouse,,43m²,R1400,R270,0,0.0
R 755 000,2,1,1,Apartment/Flat,56m²,56m²,R1335,R150,0,0.0
R 980 000,3,2,2,House,495m²,,,R305,0,
R 1 695 000,3,2,2,Townhouse,10970m²,110m²,,R560,1,0.0
R 950 000,2,1,1,Apartment/Flat,42992m²,70m²,R1650,R586,1,0.0
R 880 000,3,2,2,Townhouse,,75m²,,R795,0,0.0
R 2 195 000,3,1,10,House,575m²,,,,0,
R 9 500 000,,,,IndustrialProperty,10000m²,906m²,,,0,
R 3 375 000,4,4,2,House,980m²,,,R1300,1,
R 690 000,3,1,2,Apartment/Flat,58m²,58m²,,R360,0,0.0
R 635 000,2,1,1,Apartment/Flat,51m²,51m²,,R350,0,0.0
R 4 000 000,,,,IndustrialProperty,2069m²,1000m²,,,0,
R 4 799 000,4,3.5,6,House,1156m²,1156m²,,R1845,1,1.0
R 98 000 000,,,,CommercialProperty,,3500m²,,,0,
R 699 999,3,2,2,Townhouse,,93m²,R1400,R300,1,
R 748 000,3,1,2,House,200m²,55m²,,R500,0,1.0
R 1 649 900,2,2,2,Apartment/Flat,,110m²,R3070,R781,0,1.0
R 650 000,1,1,1,Apartment/Flat,,48m²,R1564,R219,1,0.0
R 1 099 000,,,,VacantLand/Plot,942m²,,,R840,0,
R 2 999 000,3,2.5,2,Townhouse,500m²,250m²,R1875,R1100,0,1.0
R 490 000,2,1,1,Townhouse,3806m²,77m²,R1068,R301,0,0.0
R 899 000,4,2,7,House,577m²,160m²,,R350,0,1.0
R 3 750 000,3,3.5,2,Townhouse,,249m²,R4058,R2862,0,1.0
R 665 000,2,,1,Apartment/Flat,,51m²,R1200,R165,0,
R 1 706 675,3,3,2,House,240m²,127m²,R900,R1600,0,1.0
R 2 599 000,3,2,4,House,496m²,,,R2200,0,1.0
R 550 000,1,1,1,Apartment/Flat,9868m²,48m²,R1373,R1300,1,0.0
R 4 100 000,4,3,4,House,1465m²,450m²,,R1974,1,
R 875 000,3,2,2,House,,,,R350,0,
R 1 300 000,7,2,,Townhouse,495m²,200m²,,R463,0,1.0
R 55 000 000,,,,CommercialProperty,3047m²,15000m²,,,0,
R 950 000,3,2,1,House,600m²,600m²,,R480,1,1.0
R 750 000,3,1.5,2,Apartment/Flat,82m²,82m²,,R410,0,0.0
R 3 390 000,,,,VacantLand/Plot,977m²,,,,0,
R 3 190 000,,,,VacantLand/Plot,908m²,,,,0,
R 3 914 900,2,2,2,Apartment/Flat,,102m²,R2487,,0,0.0
R 430 000,1,1,,Apartment/Flat,2000m²,35m²,R1200,R600,0,
R 980 000,3,1.5,1,House,,496m²,,R250,0,1.0
R 480 000,,1,1,Apartment/Flat,,27m²,R1300,R550,0,0.0
R 6 900 000,3,3,5,House,2024m²,,,R5700,1,1.0
R 3 550 000,3,3,2,House,495m²,270m²,,R1995,1,1.0
R 11 500 000,2,2.5,2,Apartment/Flat,,266m²,R8185,,0,0.0
R 1 195 000,3,2,1,Townhouse,1m²,97m²,R1352,R795,0,
R 1 750 000,5,2,7,House,853m²,360m²,,R736,0,1.0
R 1 899 000,3,2,3,Apartment/Flat,,128m²,R3900,R1500,1,
R 2 400 000,3,2,2,Apartment/Flat,,170m²,R3225,R1339,0,
R 525 000,2,1,1,Townhouse,,65m²,R1051,R350,1,
R 1 850 000,3,2,2,House,1377m²,,,R603,1,1.0
POA,4,3.5,2,House,,,,R3327,0,
R 525 000,2,1,1,Apartment/Flat,,65m²,R1051,R350,1,
R 1 250 000,2,1,1,Apartment/Flat,4418m²,74m²,R2100,R570,0,
R 675 000,2,1,1,Apartment/Flat,51m²,51m²,R1261,R150,0,0.0
R 689 000,1,1,1,Apartment/Flat,,45m²,R1200,R460,1,1.0
R 1 595 000,2,2,1,Apartment/Flat,,82m²,R1583,R1142,0,
R 1 500 000,5,3,3,House,400m²,300m²,,R325,1,1.0
R 1 400 000,4,3,1,House,496m²,350m²,,R400,0,1.0
R 910 500,3,2,1,House,200m²,59m²,,R500,0,1.0
R 10 500 000,4,4.5,3,House,2029m²,,,R6300,1,
R 2 399 000,4,2,3,House,957m²,,,R1141,1,
R 665 000,2,1,1,Apartment/Flat,51m²,51m²,R1300,R250,0,
R 850 000,,,,VacantLand/Plot,1029m²,,,,0,
R 1 950 000,3,3,2,House,495m²,,,R806,0,
R 2 600 000,2,2,2,Apartment/Flat,,,,,0,1.0
R 1 400 000,4,1,4,House,2164m²,,,R1000,1,
R 840 000,3,2,1,House,707m²,,,,0,
R 3 500 000,,,,IndustrialProperty,1270m²,,,,0,
R 2 450 000,4,2,3,House,1086m²,,,R1733,0,
R 1 300 000,5,4,24,House,1316ha,250m²,,R724,0,1.0
R 1 599 999,2,2,6,House,496m²,,,,0,1.0
R 635 000,2,1,,Apartment/Flat,,,R1000,,1,
R 499 999,2,1.5,1,Apartment/Flat,8167m²,113m²,R1400,R310,1,0.0
R 2 995 000,3,3.5,3,Townhouse,21080m²,293m²,R2743,R1700,0,1.0
R 689 000,3,1,1,House,448m²,120m²,,R142,0,1.0
R 2 999 000,8,8,12,House,1101m²,,,R1600,1,
POA,,,,IndustrialProperty,41554m²,,,,0,
R 670 000,2,1,2,Townhouse,,68m²,,,0,0.0
R 1 599 000,2,2,5,Apartment/Flat,,94m²,,,1,1.0
R 1 650 000,3,2,9,House,715m²,,,R627,1,1.0
R 650 000,2,1,,Apartment/Flat,,,,,0,
R 2 700 000,8,3,2,House,1700m²,,,,0,1.0
R 3 280 000,3,2.5,10,House,1212m²,,,R2800,1,1.0
R 1 599 999,3,2,2,House,991m²,,,R1600,0,1.0
R 3 799 000,4,4,2,House,1006m²,,,R2747,1,1.0
R 999 000,2,2,2,Apartment/Flat,84m²,84m²,R1300,R600,1,0.0
R 1 250 000,4,2.5,3,House,514m²,,,R540,0,1.0
R 629 000,,,,,,,,,0,
R 2 199 000,4,3,2,House,1982m²,,,R964,0,
R 565 000,1,1,2,Apartment/Flat,,89m²,,R3650,0,0.0
R 1 300 000,2,1,4,House,250m²,,,R900,0,0.0
R 299 999,1,1,,Apartment/Flat,,27m²,R750,,0,0.0
R 2 175 000,2,2,2,Apartment/Flat,106m²,106m²,,,0,
R 839 000,2,1,1,Apartment/Flat,,,R1300,R165,0,
R 1 625 000,2,2,1,Apartment/Flat,,82m²,R1583,R924,0,0.0
R 4 250 000,5,3,,House,1023m²,,,,1,1.0
R 550 000,3,1,,Townhouse,13071m²,57m²,,,1,
R 1 200 000,6,2,1,House,220m²,496m²,,R500,0,1.0
R 595 000,3,1,1,Townhouse,992m²,132m²,,,0,
R 350 000,2,2,1,Apartment/Flat,1490m²,98m²,R1040,R400,0,0.0
R 1 749 000,5,4.5,,House,,,,,1,
R 1 350 000,3,3,4,House,,,,,0,
R 2 900 000,6,2,3,House,1207m²,550m²,,R1700,0,1.0
R 4 995 000,2,2,2,Townhouse,,173m²,R5521,R3878,1,
R 700 000,2,1,1,Townhouse,2723m²,70m²,R1600,R366,1,0.0
R 1 999 000,3,2,4,House,690m²,,,R550,0,
R 1 250 000,4,2,1,House,236m²,,,,0,
R 2 450 000,3,2,4,House,,496m²,,R1337,1,
R 1 490 000,2,1,1,Apartment/Flat,,80m²,R1500,R700,0,1.0
R 650 000,3,2,10,House,521m²,200m²,,R700,0,0.0
R 800 000,1,1,1,Apartment/Flat,3098m²,61m²,R1898,,1,
R 2 799 000,3,3,1,Townhouse,,211m²,R5800,R1500,1,0.0
R 5 500 000,3,4,4,House,496m²,,,,1,1.0
R 50 000 000,5,5.5,4,Apartment/Flat,,687m²,R28000,,1,0.0
R 640 000,2,1.5,1,Apartment/Flat,5824m²,87m²,R2200,R275,0,
R 10 000 000,,,,CommercialProperty,991m²,991m²,,,0,
R 1 999 950,3,3,2,House,990m²,,,R800,1,1.0
R 5 200 000,2,2.5,2,Apartment/Flat,162m²,162m²,,,0,
R 1 050 000,3,1,2,House,245m²,,,R202,0,
R 1 875 000,4,2.5,1,House,1784m²,,,R548,0,1.0
R 2 200 000,2,1,2,Townhouse,2863m²,122m²,,R1,0,
R 8 000 000,,,,CommercialProperty,1985m²,1985m²,,,0,
R 1 300 000,1,1,1,Apartment/Flat,,102m²,R1500,R700,0,1.0
R 675 000,2,1,2,Apartment/Flat,,51m²,R750,R500,0,0.0
R 3 195 000,3,2,3,House,1049m²,,,R1600,1,
R 750 000,3,2,,House,,,,,0,1.0
R 920 000,2,2,1,Townhouse,,69m²,R1154,R570,0,
R 9 995 000,4,4,3,House,977m²,466m²,,,1,1.0
R 1 015 000,2,2,1,Townhouse,,98m²,R1200,R605,0,
R 3 250 000,3,3,1,House,996m²,,,R1321,1,0.0
R 150 000,1,1,,Apartment/Flat,,39m²,R1065,R175,0,
R 2 825 000,3,3,,House,990m²,,,,1,
R 980 000,,,,VacantLand/Plot,990m²,,,,0,
R 995 000,3,1,,Apartment/Flat,,60m²,,,0,
R 480 000,2,1,1,Apartment/Flat,2338m²,75m²,,R600,0,0.0
R 480 000,1,1,1,Apartment/Flat,30m²,30m²,,R656,0,0.0
R 2 875 000,2,2,2,House,495m²,,,,1,
R 2 395 000,3,2,18,House,992m²,,,,0,0.0
R 2 800 000,,,,VacantLand/Plot,1012m²,,,,0,1.0
R 2 890 000,4,2,3,House,972m²,,,,1,
R 740 000,2,1,1,Townhouse,11297m²,68m²,R840,R1060,1,0.0
R 970 000,2,1,2,Apartment/Flat,,71m²,R1317,R587,1,
R 680 000,2,1,2,House,400m²,,,,0,
POA,3,2,2,House,,,,R2003,0,
R 990 000,3,2,1,Apartment/Flat,169m²,169m²,R3071,R350,0,
R 1 895 000,2,2,4,House,743m²,,,,1,1.0
R 2 900 000,4,3,4,House,990m²,,,R1109,1,
R 28 500 000,,,,CommercialProperty,932m²,932m²,,,0,
R 799 000,3,2,1,House,,,,R428,0,1.0
R 1 150 000,2,1.5,,Apartment/Flat,,105m²,R2800,R730,0,1.0
R 4 200 000,3,2,4,House,993m²,400m²,,R2081,1,1.0
R 16 000 000,,,,CommercialProperty,1038m²,,,,0,
R 1 050 000,2,2,2,Townhouse,10340m²,104m²,R2000,R700,1,0.0
R 3 995 000,5,4.5,2,House,559m²,,R1650,R2530,1,
R 599 000,2,1,1,Townhouse,,70m²,,R306,0,
R 1 399 000,2,2.5,2,Townhouse,,132m²,R2200,R1200,0,1.0
R 1 150 000,8,2,,House,484m²,,,R555,0,
R 777 000,3,1,2,House,200m²,60m²,,R500,0,1.0
R 1 150 000,3,1,,House,484m²,,,R555,0,
R 1 850 000,3,2,2,House,1000m²,,,R844,1,1.0
R 1 398 000,3,2.5,1,House,340m²,,,R505,0,1.0
R 1 200 000,3,,1,House,1171m²,,,,0,1.0
R 760 000,2,1,,Apartment/Flat,3908m²,71m²,R1763,R250,1,0.0
R 300 000,1.5,1,,Apartment/Flat,,83m²,R950,,0,0.0
R 1 395 000,4,2,3,House,536m²,250m²,,R218,0,1.0
R 2 495 000,3,3,3,Townhouse,,163m²,R4115,R1593,1,1.0
R 235 000,1,1,,Apartment/Flat,2779m²,20m²,,R445,0,0.0
R 1 100 000,3,1,6,House,471m²,,,R488,0,0.0
R 1 945 000,2,2,,Apartment/Flat,,85m²,R2520,R1600,0,1.0
R 299 000,1,1,1,Apartment/Flat,,49m²,R964,R148,0,
R 1 260 000,2,2,2,Apartment/Flat,,74m²,R2200,R800,0,
R 4 500 000,4,6,3,House,995m²,,,R900,1,0.0
R 5 700 000,4,3.5,6,House,1313m²,,,R3358,1,
R 1 800 000,4,4.5,3,House,1162m²,1161m²,,R1395,1,1.0
R 1 195 000,4,3,,House,302m²,181m²,,,0,0.0
R 4 770 000,,,,,,,,,0,
R 589 000,2,1,2,Townhouse,,55m²,R950,,0,1.0
R 1 389 313,3,2,1,House,89m²,89m²,R800,R1600,0,1.0
R 235 000,1,1,,Apartment/Flat,,74m²,R830,,0,0.0
R 1 750 000,3,2,3,House,372m²,180m²,,R750,0,
R 2 900 000,3,2.5,2,Apartment/Flat,,170m²,R5900,R1674,1,1.0
R 1 650 000,3,2,5,House,490m²,250m²,R3000,R500,1,1.0
R 850 000,3,2,,House,407m²,150m²,,R450,0,0.0
R 1 699 000,3,2,5,House,,,,,1,
R 3 800 000,2,3,,Apartment/Flat,246m²,246m²,R5025,R330,1,
POA,,,,CommercialProperty,,1355m²,,,0,
R 1 950 000,3,2,4,House,990m²,,,R900,1,1.0
R 1 350 000,1,1,1,Apartment/Flat,,78m²,R2100,R969,0,0.0
R 1 590 000,2,2,2,Apartment/Flat,,88m²,R3031,R1011,0,
R 665 000,2,1,1,Apartment/Flat,,51m²,R800,R300,0,
R 1 799 000,4,2,6,House,677m²,,,R700,0,
R 1 250 000,1,1,1,Townhouse,,70m²,R3260,,1,1.0
POA,5,4,,House,1534m²,,,,1,
R 3 500 000,3,2.5,2,House,213m²,,,,0,
R 1 190 000,3,1,1,House,496m²,,,R602,0,
R 4 300 000 - R 4 600 000,,,,,,,,,0,
R 1 900 000,4,2,2,House,1042m²,,,,1,0.0
R 1 550 000,9,9,,House,499m²,495m²,,R639,0,0.0
R 1 650 000,,,,IndustrialProperty,480m²,480m²,,,0,
R 8 000 000,4,4,3,House,894m²,550m²,,,1,1.0
R 1 299 000,3,1.5,1,House,495m²,135m²,,R602,0,1.0
R 1 899 000,3,2,2,House,,,,R1365,0,1.0
R 7 450 000,4,3.5,2,House,1703m²,575m²,,,1,1.0
R 5 900 000,5,3.5,2,House,1983m²,,,R2741,1,1.0
R 950 000,2,1,,Townhouse,,103m²,R1500,R500,0,
R 1 095 000,4,3,4,House,600m²,,,R421,1,
R 1 650 000,2,1,1,Apartment/Flat,,104m²,,R977,1,
R 665 000,2,1,2,Apartment/Flat,,51m²,R750,R500,0,0.0
R 549 710,3,2.5,1,House,246m²,85m²,,R302,0,1.0
R 839 000,2,1,1,Apartment/Flat,,56m²,R1300,R150,0,
R 1 725 000,2,2,2,Apartment/Flat,14499m²,82m²,,R1142,0,0.0
R 2 500 000,3,2,2,House,1338m²,1338m²,,R1945,1,1.0
R 650 000,2,1,,Townhouse,,65m²,,,0,
R 1 400 000,3,2.5,2,Townhouse,4943m²,169m²,R2347,R910,1,0.0
R 2 100 000,6,4,5,House,642m²,,,R750,0,1.0
R 380 000,,1,,Apartment/Flat,,35m²,,,0,0.0
R 299 000,1,1,1,Apartment/Flat,19m²,19m²,,R530,0,0.0
R 3 799 000,3,2,4,House,787m²,426m²,,,1,1.0
R 1 180 000,3,3,,Apartment/Flat,,141m²,R1000,R497,0,
R 2 000 000,,,,VacantLand/Plot,2113m²,2113m²,,R2625,0,
R 795 000,2,1,1,Townhouse,,101m²,R2500,R385,0,
R 1 400 000,3,2.5,3,Townhouse,,164m²,R590,R1200,0,
R 690 000,2,1,1,Townhouse,11297m²,70m²,R1500,R400,1,0.0
R 951 900,3,2,1,House,300m²,71m²,,R450,0,1.0
R 1 219 000,3,1,4,House,495m²,,,R859,0,
R 995 000,1,1.5,1,Apartment/Flat,,77m²,R2285,R380,0,1.0
R 1 370 000,3,2,2,Apartment/Flat,100m²,100m²,,R790,1,0.0
R 2 300 000,3,2,2,House,1271m²,235m²,,R940,1,1.0
R 1 100 000,3,2,2,Townhouse,101m²,101m²,R4200,R549,1,
R 2 300 000,3,2,5,House,1487m²,,,,1,
R 1 350 000,3,2,7,House,500m²,250m²,,R700,0,1.0
R 2 059 300,4,3,1,House,240m²,189m²,R850,R800,0,1.0
R 2 599 000,2,2,2,Apartment/Flat,,73m²,R2600,R1100,0,
R 2 900 000,3,2.5,2,Townhouse,,246m²,R7617,R2662,0,
POA,4,2,,House,2091m²,,,R780,0,
R 1 799 000,3,2,4,Townhouse,,175m²,R2618,R1323,0,1.0
R 235 000,1,1,,Apartment/Flat,,53m²,R1155,,0,0.0
R 695 000,3,2,1,Apartment/Flat,,69m²,,R1600,0,0.0
R 645 000,1,1,1,Apartment/Flat,,87m²,,R250,0,0.0
R 2 500 000,3,2,2,House,495m²,,,R1400,1,
R 1 800 000,4,2,2,House,993m²,,,R1054,1,1.0
R 1 750 000,5,2,7,House,495m²,,,R834,1,
R 1 500 000,3,2,2,House,808m²,,,R400,0,
R 890 000,3,2,,House,427m²,,,R600,0,
R 1 499 000,3,1,2,House,990m²,290m²,,R1430,0,1.0
R 1 150 000,3,2.5,1,Townhouse,2133m²,101m²,R2000,R1300,1,0.0
R 725 000,2,2,2,Townhouse,,69m²,,R411,1,
R 530 000,1,1,2,Apartment/Flat,,48m²,R1437,R63,1,
R 3 100 000,3,3,,House,1488m²,,,,0,
R 6 500 000,,,,CommercialProperty,496m²,2160m²,R1300,,0,
R 450 000,1,1,1,Apartment/Flat,655m²,33m²,,R800,0,
R 480 000,3,1,6,House,325m²,64m²,,R152,0,1.0
R 2 499 000,4,4,,House,495m²,,,R1500,1,1.0
R 1 250 000,2,2,2,Townhouse,14921m²,101m²,R2261,R781,1,1.0
R 3 500 000,,,,CommercialProperty,,992m²,,,0,
R 1 590 000,3,2,2,House,1800m²,,,,1,0.0
R 1 200 000,3,2,,Townhouse,10838m²,98m²,R1500,R550,0,0.0
R 1 450 000,3,2,,House,1964m²,160m²,,,0,0.0
R 650 000,1,1.5,2,Apartment/Flat,916m²,89m²,R3280,R20,0,0.0
R 1 200 000,3,2,2,House,495m²,,,,1,
R 1 500 000,2,2,,Townhouse,,84m²,R2586,R1300,0,
R 2 299 000,3,2.5,2,Apartment/Flat,,185m²,,,0,0.0
R 2 850 000,2,2,2,Apartment/Flat,,182m²,R4600,R1835,0,
R 10 900 000,4,4.5,2,House,1163m²,619m²,,R4540,1,1.0
R 7 900 000,4,3.5,2,House,545m²,500m²,R5760,R3789,1,
R 429 000,1.5,1,1,Apartment/Flat,7000m²,79m²,R1257,R250,1,0.0
R 1 650 000,3,2,2,House,719m²,719m²,,R656,0,1.0
R 1 700 000,6,2,5,House,,,,,0,
R 827 000,2,1,1,House,150m²,50m²,,R300,0,1.0
R 3 200 000,3,2,3,House,878m²,370m²,,R1526,1,
R 18 499 999,,,,IndustrialProperty,3986m²,,,,0,
R 2 700 000,3,3,10,House,1502m²,,,R902,1,
R 2 150 000,5,3,2,House,991m²,,,R1020,1,1.0
R 3 600 000,2,2,2,Apartment/Flat,,92m²,R4065,R2650,1,0.0
R 1 599 000,3,2,2,Apartment/Flat,99m²,99m²,,R940,1,0.0
R 1 499 000,3,2,2,Apartment/Flat,99m²,99m²,,R940,1,0.0
R 2 050 000,3,2,2,House,1083m²,,,R897,0,1.0
R 1 100 000,3,1.5,,House,280m²,90m²,,R600,0,
R 755 000,2,1,1,Apartment/Flat,,56m²,R1300,R250,0,
R 2 850 000,2,2,2,Apartment/Flat,182m²,182m²,,,1,
