price,bedrooms,bathrooms,parking space,Type of Property,Erf Size,Floor Size,Levies,Rates and Taxes,Pool,Pets Allowed
R 585 000,2,1,,Townhouse,16661m²,59m²,R1150,R250,1,
R 2 350 000,5,3,5,House,990m²,292m²,,R1200,1,
R 1 999 999,13,10,8,House,495m²,,,,0,
R 420 000,1,1,1,Apartment/Flat,,,R1200,R300,0,
R 1 650 000,3,2,2,House,495m²,236m²,,R913,1,1.0
R 1 695 000,3,2,2,House,495m²,,,R800,1,1.0
R 499 000,1,1,,Apartment/Flat,,44m²,R1096,R136,0,
R 570 000,,,,,,,,,0,
R 665 000,2,1,1,Apartment/Flat,51m²,51m²,R1261,R150,0,0.0
R 839 000,2,1,1,Apartment/Flat,,56m²,R1335,R150,0,0.0
R 1 690 000,3,2,2,Townhouse,,104m²,,R684,0,
R 230 000,0.5,1,1,Apartment/Flat,,29m²,R1038,R402,0,0.0
R 1 750 000,2,2,1,Apartment/Flat,,132m²,R3300,R750,0,
R 3 425 000,3,2,2,Townhouse,544m²,,R2947,R2238,0,0.0
R 650 000,2,2,1,Apartment/Flat,88m²,88m²,,R335,0,0.0
R 899 900,3,2,1,House,163m²,92m²,R250,R700,0,1.0
R 1 995 000,2,2,2,Apartment/Flat,,,R2029,R1260,1,1.0
R 1 495 000,1,1,1,Apartment/Flat,,,R1561,R856,0,1.0
R 1 100 000,3,2,,House,495m²,,,,0,1.0
R 1 500 000,2,1,,Apartment/Flat,,,,,1,
R 879 000,4,2,8,House,305m²,150m²,,R450,0,1.0
R 1 650 000,2,2,2,House,601m²,,,R750,0,
R 780 000,2,2,,Townhouse,,93m²,R2000,R431,1,1.0
R 5 000 000,4,3.5,6,House,1000m²,560m²,,R3506,1,1.0
R 1 749 000,4,2,2,House,1208m²,,,,1,1.0
R 13 900 000,9,9,16,House,5948m²,1182m²,,R12000,1,1.0
R 2 300 000,2,2,2,Apartment/Flat,,,R2100,R1500,1,
R 5 350 000,,,,CommercialProperty,800m²,,,R4000,0,
R 1 005 000 - R 1 355 000,,,,,,,,,0,
R 1 990 000,4,3,4,House,496m²,496m²,,R760,1,1.0
R 2 995 000,5,4,6,House,991m²,991m²,,R1507,1,1.0
R 1 475 000,5,2,4,House,,,,,0,
R 4 700 000,4,3,,House,1094m²,,,,0,1.0
R 7 499 000,4,4.5,4,House,1089m²,,,,1,1.0
R 395 000,2,1,,Apartment/Flat,,108m²,R1200,,0,
