price,bedrooms,bathrooms,Type of Property,Erf Size,Floor Size,Levies,Rates and Taxes,Pets Allowed,Pool,parking space
R 1 100 000,,,VacantLand/Plot,800m²,,,,,0,
R 1 265 000,3,2.5,Townhouse,16667m²,137m²,R2900,R800,0.0,1,2
R 9 500 000,,,IndustrialProperty,3998m²,2996m²,,,,0,
R 1 450 000,3,2,House,,,,R900,1.0,0,2
R 1 150 000,2,2.5,Townhouse,,100m²,R1985,R657,1.0,0,2
R 850 000,3,2,House,240m²,,,R1200,,0,
R 700 000,2,1,Townhouse,,68m²,R1485,R410,,0,1
R 750 000,3,2,House,216m²,,,R467,1.0,0,1
R 12 000 000,3,3,House,,327m²,,,,0,
R 369 000,1,1,Apartment/Flat,95m²,95m²,,,0.0,0,1
R 680 000,3,2,Townhouse,168m²,114m²,R600,R362,1.0,0,1
R 900 000,2,1,Apartment/Flat,,,,,0.0,0,1
R 2 000 000,,,CommercialProperty,,,,,,0,
R 1 500 000,3,2.5,Townhouse,38174m²,131m²,R3361,R735,1.0,1,3
R 1 850 000,2,2,Apartment/Flat,,119m²,,,0.0,1,1
R 1 800 000 - R 5 400 000,,,,,,,,,0,
R 550 000,2,1,Apartment/Flat,,,R780,,,0,1
R 665 000,2,1,Apartment/Flat,,,R1100,,,0,
R 2 399 000,4,2,House,991m²,,,R676,1.0,0,1
R 1 248 000,3,1,House,,,,,,0,2
R 3 799 000,2,2,House,495m²,,,,,1,2
R 1 599 000,3,2,Apartment/Flat,99m²,99m²,R1271,R600,1.0,1,2
R 760 000,3,,Apartment/Flat,,,,,,0,2
R 754 000,2,1,House,,64m²,R1254,,0.0,1,1
R 2 399 000,2,3,Apartment/Flat,5000m²,158m²,R3310,R1409,,1,2
R 950 000,4,2,House,,,,,,0,3
R 2 390 000,1,1,Apartment/Flat,,60m²,R2158,,,1,2
R 1 499 000,3,2,House,419m²,200m²,,,1.0,0,3
R 550 000,2,1,Townhouse,,47m²,,R328,,0,
R 1 850 000,1,1,Apartment/Flat,,44m²,R1944,R1167,,1,2
R 730 000,2,1,Townhouse,10892m²,86m²,R2097,R384,0.0,1,1
R 599 000,2,1,Townhouse,5802m²,48m²,R1400,R303,0.0,0,
R 1 320 000,4,1.5,House,750m²,,,,,1,5
R 1 599 000,4,2,House,822m²,236m²,,,1.0,0,7
R 490 000,2,1,Townhouse,4685m²,46m²,R1200,R600,0.0,0,1
R 1 005 000 - R 1 355 000,,,,,,,,,0,
R 3 999 000,3,2,House,498m²,,,R1700,,0,4
R 22 900 000,4,4,House,,,,,0.0,0,26
R 1 690 000,4,2.5,House,2023m²,,,R1000,1.0,0,1
R 15 000 000,,,CommercialProperty,1.9ha,,,R8752,,0,
R 1 800 000,4,2,House,960m²,,,,,1,1
R 1 190 000,3,2,House,,,,,,1,1
R 2 300 000,3,2,House,1678m²,,,R955,1.0,1,6
R 870 000,2,1,Townhouse,6934m²,71m²,R1200,R488,,0,1
R 559 000,2,1,Apartment/Flat,,,,,0.0,0,1
R 850 000,2,1,Apartment/Flat,,123m²,,,0.0,0,1
R 1 250 000,4,3,House,600m²,,,,,1,3
R 6 999 000,5,3,House,3222m²,,,R5138,1.0,1,8
R 950 000,2,1,Apartment/Flat,,72m²,,,1.0,0,2
R 2 799 000,,,VacantLand/Plot,1236m²,,,,0.0,0,
R 1 950 000,5,3,House,,,,,1.0,1,2
R 699 000,,,VacantLand/Plot,,,,,,0,
R 2 475 000 - R 2 499 000,,,,,,,,,0,
R 799 000,2,1,Apartment/Flat,916m²,85m²,R2882,R500,0.0,0,1
R 585 000,2,1,Townhouse,35055ha,,R2050,R300,,0,
R 1 195 000,2,2,Townhouse,45180m²,,R1536,,0.0,1,
R 2 995 000,3,3,House,1230m²,1m²,,R2300,1.0,0,2
R 2 250 000,4,3,House,1208m²,,,R2400,1.0,1,
R 325 000,2,1,Apartment/Flat,1058m²,90m²,,,0.0,0,1
R 360 000,3,1,Apartment/Flat,105m²,50m²,,R300,1.0,0,1
R 1 995 000,8,4,Apartment/Flat,495m²,480m²,,R550,0.0,0,4
R 1 000 000,3,2,House,,,,,,0,
R 600 000,2,1.5,Apartment/Flat,520m²,94m²,,R257,0.0,0,
R 500 000,2,1,Apartment/Flat,749m²,104m²,R1500,,,0,1
R 180 000,1,1,Apartment/Flat,,67m²,R1477,,0.0,0,1
R 540 000,1,1,Apartment/Flat,1016m²,51m²,,,,1,1
R 590 000,2,2.5,Townhouse,,129m²,R662,R265,1.0,0,3
R 1 375 000,,,CommercialProperty,248m²,248m²,,,,0,
R 4 800 000,7,5,House,4035m²,,,R5121,,0,6
POA,6,2,House,2131m²,,,,,0,4
R 760 000,3,1,House,,,,,,0,1
R 900 000,2,2,Townhouse,10749m²,104m²,R1383,R510,,1,2
R 3 200 000,3,2.5,House,1499m²,,,,1.0,1,9
R 3 390 000,3,2.5,Apartment/Flat,,244m²,R5500,R1790,1.0,1,2
R 2 299 000,5,4,House,1500m²,450m²,,R1051,1.0,1,2
R 950 000,3,1,House,248m²,,,R450,1.0,0,1
R 1 799 000,3,2,House,1200m²,,,R850,,0,2
R 2 400 000,3,2,House,1012m²,,,R1807,1.0,1,4
R 3 950 000,2,3,House,1006m²,,,R2774,,1,6
R 1 250 000,4,2,House,,,,,,1,2
R 550 000,3,1,Townhouse,6783ha,57m²,R1200,R300,,0,
R 795 000,2,1,Townhouse,,71m²,,,,0,2
R 1 495 000,,,CommercialProperty,265m²,250m²,,R3671,,0,
R 850 000,3,2,House,248m²,125m²,,R600,1.0,0,3
R 1 850 000,2,1,Apartment/Flat,,59m²,,,,0,2
R 4 990 000,3,2,House,1141m²,,,,,1,6
R 495 000,1,1,Apartment/Flat,1898m²,55m²,R1122,R315,,1,1
R 2 499 000,3,2,House,495m²,,,,1.0,0,4
R 1 100 000,4,2,House,336m²,,,,1.0,0,3
R 710 000,2,2,Townhouse,,97m²,R1481,R487,1.0,1,1
R 4 990 000,,,,,,,,,0,
R 599 000,2,1,Apartment/Flat,10475m²,59m²,R1372,R233,0.0,1,1
R 445 000,1,1,Apartment/Flat,995m²,26m²,,R637,,0,1
R 510 000,2,1,Apartment/Flat,,61m²,,R369,,0,1
R 28 000 000,134,20,Apartment/Flat,1403m²,1403m²,,R2999,,0,
R 640 000,3,2,House,,,,,0.0,0,2
R 175 000,,1,Apartment/Flat,1487m²,30m²,,,0.0,0,
R 1 750 000,3,2,House,,,,,1.0,1,5
R 1 400 000,2,2,Apartment/Flat,97m²,97m²,R2911,R1317,0.0,1,2
R 1 099 000,3,2,Townhouse,10838ha,98m²,R1200,R400,,0,2
R 1 599 000,4,1,House,496m²,350m²,,R400,1.0,0,3
R 1 300 000,4,2,House,495m²,,,,,0,
R 4 350 000,3,3.5,House,933m²,,R5800,R3200,1.0,1,2
R 1 390 000,1,1,Apartment/Flat,,85m²,R1233,R194,,0,
R 537 600,2,1,House,671m²,,,R230,,0,1
R 2 999 000,2,2,House,498m²,,,R1800,,0,3
POA,,,VacantLand/Plot,3.52ha,,,,,0,
R 539 000,,,,,,,,,0,
R 680 000,1,2,Apartment/Flat,69m²,,R3008,R189,1.0,0,1
R 5 895 000,,,IndustrialProperty,1722m²,,,R5205,,0,
R 2 699 000,3,2,House,,,,,,1,3
R 749 000,2,1,Apartment/Flat,,,R908,,,1,2
R 400 000,1,1,Apartment/Flat,,29m²,,,0.0,0,
R 1 095 000,2,1,Townhouse,72m²,,R1977,,,1,
R 638 000,2,1,House,150m²,40m²,,R300,1.0,0,
R 1 250 000,3,2,House,495m²,,,R380,1.0,0,5
R 420 000,0.5,1,Apartment/Flat,695m²,34m²,R1200,R200,0.0,1,
R 3 750 000,2,3,House,487m²,,,,1.0,0,2
R 385 000,2,1,Apartment/Flat,,103m²,R1398,,0.0,0,2
R 1 750 000,5,3,House,1487m²,,,R980,,0,2
R 750 000,2,1,Townhouse,,,R1195,R174,0.0,1,1
R 3 195 000,4,2,House,1230m²,1m²,,R2182,1.0,0,3
R 780 000,3,2,House,448m²,,,R600,,0,6
R 4 900 000,,,CommercialProperty,248m²,,,R2207,,0,
R 650 000,1,1.5,Apartment/Flat,,82m²,R2693,R842,1.0,0,1
R 949 000,3,2,House,600m²,350m²,,R764,1.0,0,3
R 840 000,2,1,Apartment/Flat,32599m²,58m²,R1645,,0.0,1,1
R 945 000,1,1,Apartment/Flat,79m²,79m²,R2480,R624,,0,
R 1 439 000 - R 1 458 000,,,,,,,,,0,
R 800 000,3,2,House,359m²,,,R700,1.0,0,3
R 1 700 000,2,2,Apartment/Flat,,80m²,R2036,,0.0,0,1
R 1 355 000,3,2,House,286m²,,R860,R800,1.0,0,1
R 495 000,2,1,Apartment/Flat,95m²,,R1123,R177,0.0,0,
R 735 000,3,1,House,248m²,248m²,,,,0,
R 5 800 000,,,IndustrialProperty,2357m²,2357m²,,,,0,
R 1 250 000,2,2,Townhouse,,78m²,R2400,R684,0.0,1,2
R 850 000,3,2,Townhouse,,60m²,R1090,R350,,0,1
R 550 000,2,1,House,302m²,,,,,0,4
R 105 000,,1,Apartment/Flat,865m²,44m²,,,0.0,0,
POA,,,IndustrialProperty,6358m²,6358m²,,,,0,
R 1 250 000,3,2,House,495m²,,,R325,,0,2
R 755 000,,,Apartment/Flat,200m²,51m²,R1300,R250,1.0,0,
R 5 350 000,,,Farm,,,,,1.0,1,
R 535 000,2,1,Apartment/Flat,991m²,76m²,R770,R430,0.0,0,1
R 1 350 000,3,2,Townhouse,,106m²,,,,0,1
R 1 350 000,3,1,Apartment/Flat,50m²,,R2000,R1500,,0,2
R 7 777 000,4,4,House,631m²,530m²,R1900,R2500,1.0,0,4
R 4 800 000,3,2,House,,,,,0.0,1,2
R 765 000,3,1,House,,,,,,0,1
R 335 000,0.5,1,Apartment/Flat,,21m²,R575,R448,0.0,0,
R 600 000,3,2,House,,,,,0.0,0,2
R 1 500 000,3,1,House,495m²,,,,,0,
R 3 045 000,5,5,House,805m²,,,R1500,1.0,0,3
R 2 000 000,4,3,House,834m²,,,,0.0,1,3
R 1 050 000,3,1.5,Apartment/Flat,,125m²,R2736,R913,,0,2
R 1 520 000,2,2,Apartment/Flat,,82m²,,R850,0.0,0,2
R 770 000,2,2,Apartment/Flat,1391m²,83m²,R1617,R1360,0.0,0,2
R 425 000,2,2,House,297m²,,,,,0,
R 1 500 000,,,House,,,,,,0,
R 1 300 000,9,9,House,520ha,,,R500,,0,
R 1 000 000,2,2.5,Apartment/Flat,,132m²,R4799,,,0,
R 839 000,1,1,Apartment/Flat,39m²,37m²,R499,,1.0,0,1
R 4 299 000,3,3.5,House,744m²,,,R2616,,0,2
R 3 200 000,3,2.5,Apartment/Flat,,194m²,,,0.0,0,2
R 2 600 000,12,5,House,,,,,,0,4
R 1 700 000,3,2,House,1020m²,,,,1.0,1,2
R 610 000,2,1,House,,,,,,0,10
R 3 700 000,,,IndustrialProperty,2000m²,1133m²,,,,0,
R 2 100 000,5,4,House,1428m²,310m²,,,,1,7
R 2 500 000,3,2.5,House,1903m²,,,R2010,,1,3
R 10 950 000,4,3,House,3866m²,,,R5800,,1,5
R 19 000 000,,,CommercialProperty,1010m²,,,,,0,
R 1 550 000,3,1,House,,,,,,1,6
R 3 700 000,4,3,House,1061m²,446m²,,R3300,1.0,1,3
