price,bedrooms,bathrooms,parking space,Type of Property,Levies,Rates and Taxes,Pool,Floor Size,Pets Allowed,Erf Size
R 457 000,0.5,1,,Apartment/Flat,R1800,R300,1,33m²,0.0,655m²
R 2 475 000 - R 2 499 000,,,,,,,0,,,
R 6 499 000,3,3,3,Townhouse,R6000,,0,390m²,1.0,525m²
R 19 999 000,6,6,4,House,,R7615,1,1500m²,1.0,3615m²
R 1 850 000,4,2,,House,,R1053,1,,1.0,1362m²
R 1 850 000,1,1,1,Apartment/Flat,R2000,,0,50m²,0.0,
R 1 550 000,6,6,4,Apartment/Flat,,R1050,0,447m²,,500m²
R 470 000,2,1,1,Apartment/Flat,R1400,R26,0,69m²,0.0,
R 1 080 000,3,1,5,House,R200,R750,0,447m²,1.0,447m²
R 1 100 000,1,1,2,Apartment/Flat,R2127,,1,55m²,,
R 320 000,0.5,1,,Apartment/Flat,R712,R513,0,26m²,0.0,
R 1 700 000,5,3,,House,,R750,0,,,
R 810 000,3,2,,House,,,0,,,300ha
R 4 695 000,2,2,2,Apartment/Flat,R4437,R2708,1,113m²,,
R 1 599 000,2,2,1,Apartment/Flat,R3636,R1200,1,77m²,,
R 1 800 000,,,,CommercialProperty,,,0,,,
R 2 245 000,2,2.5,2,Apartment/Flat,,,1,100m²,1.0,
R 1 095 000,10,4,1,House,,R569,0,,0.0,447m²
R 590 000,1,1,,Apartment/Flat,,,0,32m²,,995m²
R 2 500 000,4,2,5,House,,,1,,,
R 1 500 000,4,2,4,House,,R438,0,,0.0,1071m²
R 4 900 000,,,,,,,0,,,
POA,,,,IndustrialProperty,,,0,568m²,,2151m²
R 999 000,4,2,,House,,,1,,,1337m²
R 3 900 000,3,2,2,Apartment/Flat,R6709,,1,176m²,0.0,
R 3 400 000,3,2,4,House,,R2330,0,,,2177m²
R 3 480 000,4,2,4,House,,R2751,1,,1.0,1003m²
R 1 195 000,3,2,2,Apartment/Flat,,,0,188m²,,
R 2 350 000,4,2,2,Townhouse,,,1,173m²,1.0,
R 1 050 000,2,1,2,House,,,0,,1.0,300m²
R 2 600 000,3,2,2,Apartment/Flat,R6368,R1632,0,232m²,0.0,
R 1 347 000,1,1,1,Apartment/Flat,R851,,1,67m²,1.0,
R 2 900 000,1,1.5,1,Apartment/Flat,,,1,94m²,0.0,
R 8 900 000,4,3.5,8,House,,,1,,,1100m²
R 170 000,1,1,,Apartment/Flat,,,0,,,
