price,bedrooms,bathrooms,parking space,Type of Property,Erf Size,Floor Size,Levies,Rates and Taxes,Pets Allowed,Pool
R 2 395 000,3.0,2.0,3.0,House,383m²,,,R1651,1.0,1
R 730 000,1.0,1.0,1.0,Apartment/Flat,493m²,63m²,,,0.0,0
R 250 000,2.0,1.5,1.0,Apartment/Flat,,103m²,R2788,,0.0,0
R 850 000,2.0,1.0,,Townhouse,11161ha,86m²,R1149,R480,,0
R 180,1.0,1.0,,Apartment/Flat,2882m²,35m²,,,0.0,0
R 850 000,3.0,2.0,3.0,Townhouse,11029m²,67m²,R1700,R450,1.0,0
R 45 000,,,,VacantLand/Plot,200m²,200m²,R500,,1.0,0
POA,,,,CommercialProperty,1484m²,,,,,0
R 799 000,3.0,3.0,2.0,House,471m²,471m²,,R450,1.0,0
R 900 000,1.0,1.0,1.0,Apartment/Flat,,51m²,R2298,R363,0.0,1
POA,2.0,1.5,2.0,Apartment/Flat,,95m²,R3140,R441,,0
R 435 000,1.0,1.0,,Apartment/Flat,1000m²,29m²,R850,R300,,0
R 1 900 000,3.0,2.0,2.0,House,991m²,225m²,,R745,1.0,1
R 599 000 - R 750 000,,,,,,,,,,0
R 1 999 000,2.0,2.5,,Apartment/Flat,,116m²,,,,0
R 820 000,3.0,1.0,,House,991m²,,,R990,,0
R 600 000,2.0,1.0,1.0,Townhouse,,63m²,R790,R545,,1
R 5 704 000,,,,CommercialProperty,192m²,,,,,0
R 1 800 000,3.0,2.0,6.0,House,720m²,,,R771,1.0,0
R 1 400 000,,,,CommercialProperty,750m²,750m²,,R1200,,0
R 1 195 000,3.0,2.0,2.0,Townhouse,,97m²,R1352,R551,0.0,1
R 6 800 000,,,,IndustrialProperty,,1470m²,,,,0
R 1 990 900,3.0,3.0,2.0,Apartment/Flat,2000m²,174m²,R3600,R1750,0.0,1
R 950 000,2.0,1.0,3.0,House,550m²,,,R180,1.0,0
R 750 000,3.0,2.0,1.0,Apartment/Flat,69m²,69m²,R2500,R300,0.0,0
R 950 000,2.0,1.0,2.0,Townhouse,8000m²,70m²,R1650,R640,,1
R 395 000,1.0,1.0,1.0,Apartment/Flat,,34m²,R1750,R839,0.0,0
R 2 649 000,5.0,4.0,6.0,House,1041m²,,,R850,,1
R 699 000,2.0,1.0,2.0,Townhouse,,96m²,R1200,R250,,0
