price,Type of Property,Erf Size,Floor Size,Rates and Taxes,Pool,bedrooms,bathrooms,parking space,Levies,Pets Allowed
R 3 850 000,House,1500m²,550m²,R1500,0,7,9,4,,0.0
R 3 300 000,House,1502m²,,R902,1,5,4,8,,1.0
R 2 850 000,VacantLand/Plot,796m²,,,0,,,,R2150,
R 1 599 000,House,495m²,,,0,7,3,,,
R 1 100 000,House,495m²,,,0,3,1,5,,
R 5 150 000,Apartment/Flat,,,,1,3,3,2,R5000,1.0
R 1 599 000,House,200m²,,,0,3,1,1,,
R 2 500 000,Apartment/Flat,,52m²,,1,,1,1,R2280,
R 970 000,Apartment/Flat,800m²,85m²,,0,2,2,2,,
R 250 000,Apartment/Flat,1487m²,28m²,R200,0,0.5,1,1,R1500,0.0
R 995 000,Townhouse,88m²,88m²,R770,0,2,1.5,1,R1130,0.0
R 799 000,House,,130m²,R400,0,2,1,2,,1.0
R 2 195 000,Townhouse,,225m²,R1195,0,4,2,2,R3069,0.0
R 5 750 000,Townhouse,,365m²,R2600,1,4,3.5,2,,
R 2 999 000,House,993m²,,R1743,1,4,2.5,4,,1.0
R 1 380 000,House,248m²,220m²,R350,0,3,2,3,,1.0
R 12 000 000,CommercialProperty,2702m²,,,0,,,,,
R 2 370 500 - R 2 552 550,,,,,0,,,,,
R 840 000,House,326ha,130m²,R584,0,3,2,5,,1.0
R 1 280 000,House,,,,0,4,2,2,,
R 610 000,Townhouse,,60m²,R385,1,2,1,1,R1830,
R 799 000,House,405m²,,,0,3,2,2,,
R 1 599 000,House,991m²,,,0,6,5,5,,1.0
R 590 000,Townhouse,,,,0,2,2,1,,0.0
R 620 000,Apartment/Flat,,,,0,2,1,,,
R 599 000,Apartment/Flat,70m²,70m²,R400,0,2,1,1,R600,0.0
R 616 000,Apartment/Flat,,,,0,,,,,0.0
R 1 695 000,Apartment/Flat,,102m²,,0,1,1.5,1,,0.0
R 899 000,Apartment/Flat,,90m²,,1,2,2,1,R1391,0.0
R 1 099 000,Townhouse,,,,0,2,2,,,
R 1 600 000,CommercialProperty,248m²,,,0,,,,,
POA,House,1488m²,,,0,4,2,2,,1.0
POA,House,991m²,,,1,4,3,5,,1.0
R 15 000 000,IndustrialProperty,7098m²,5100m²,,0,,,,,
R 920 000,Apartment/Flat,,150m²,,0,2,2,1,,0.0
R 6 400 000,CommercialProperty,1671m²,,,0,,,,,
R 1 390 000,Townhouse,,96m²,R617,0,1,1,2,R1680,
R 2 390 000,House,496m²,240m²,R1300,0,3,2,3,,1.0
R 629 000,,,,,0,,,,,
R 539 000,Townhouse,,,R579,1,2,1,1,,
R 1 850 000,Apartment/Flat,,106m²,,0,2,2,1,R3900,1.0
R 1 600 000,House,669m²,185m²,R840,0,3,2,2,,1.0
R 1 025 000,Townhouse,,90m²,R500,0,2,2,1,R1650,0.0
R 549 000,Townhouse,,,R600,0,2,1,1,R1200,0.0
R 1 350 000,House,,,,0,4,3,2,,
R 3 699 000,House,,,R1203,1,6,3,5,,
R 2 480 000,House,,202m²,,1,2,2.5,4,,1.0
R 1 900 000,House,496m²,,R1350,1,3,2,3,,
R 799 000,Apartment/Flat,,,,0,2,1,1,,0.0
R 4 700 000,House,857m²,,,0,5,3,6,,
R 999 000,House,495m²,,R162,1,3,1,5,,1.0
R 1 450 000,House,495m²,,,1,3,2,3,,
R 1 100 000,House,1143m²,,,0,3,1,4,,
R 1 100 000,House,390m²,,R1500,0,4,2,2,,1.0
R 5 000 000,VacantLand/Plot,33281m²,,,0,,,,,
R 1 300 000,House,495m²,180m²,R700,1,3,1,2,,1.0
R 749 900,Townhouse,,60m²,R350,0,3,1.5,,R985,
R 890 000,Apartment/Flat,,,R397,1,2,1,2,R1188,
R 2 500 000 - R 4 300 000,,,,,0,,,,,
R 2 850 000,House,1012m²,,R1635,0,4,3,6,,1.0
POA,CommercialProperty,2959m²,,,0,,,,,
R 13 500 000,CommercialProperty,2690m²,1167m²,,0,,,,,
R 429 000,Apartment/Flat,,47m²,R1312,1,1,1,,R1250,0.0
POA,House,2007m²,,R3104,0,8,4,8,,
R 1 150 000,Townhouse,,,R643,0,3,2,1,R2485,
R 3 500 000,IndustrialProperty,990m²,618m²,,0,,,,,
R 520 000,Apartment/Flat,,87m²,R297,0,2,2,,R1135,0.0
R 2 170 000,House,964m²,,R1176,1,3,2,8,,1.0
R 1 180 000,Townhouse,32354m²,159m²,R650,0,3,2.5,2,,1.0
R 765 000,Apartment/Flat,,,R250,0,2,1,1,R1200,
R 1 250 000,House,495m²,495m²,R763,0,2,1,,,
R 4 995 000,House,1242m²,,,1,3,2.5,6,,1.0
R 1 150 000,Apartment/Flat,,90m²,R780,0,3,2,2,R1600,
R 899 000,Townhouse,2985m²,109m²,R388,0,2,2.5,,R2075,
R 849 999,Townhouse,,,R194,1,2,1,2,R2233,1.0
R 1 595 000,House,1000m²,,,0,3,2,3,,
R 1 439 000 - R 1 458 000,,,,,0,,,,,
POA,CommercialProperty,1800m²,,,0,,,,,
R 995 000,House,325m²,,,0,4,2.5,2,,
R 660 000,Apartment/Flat,,,,1,2,1,1,,
R 795 000,House,330m²,104m²,R476,0,2,3,2,,1.0
R 770 000,House,325m²,,,0,3,1,,,
R 1 250 000,Apartment/Flat,1616m²,95m²,R300,0,4,2,,R2400,0.0
R 5 000 000,IndustrialProperty,1000m²,1000m²,,0,,,,,
R 1 390 000,House,978m²,,,0,3,2,4,,
R 2 200 000,VacantLand/Plot,1050m²,,,0,,,,R2750,
R 3 300 000,House,1276m²,1m²,R3200,0,3,3,3,,1.0
R 849 000,House,660m²,,,0,4,3,3,,
R 2 350 000,House,497m²,,,0,3,3.5,4,,
R 365 000,Apartment/Flat,7391m²,87m²,R200,0,2,1,1,R2026,0.0
