price,Type of Property,Erf Size,Floor Size,Rates and Taxes,Pool,bedrooms,bathrooms,parking space,Levies,Pets Allowed
R 1 500 000,House,849m²,,,0,5,4,4,,1.0
R 9 995 000,VacantLand/Plot,10675m²,,,0,,,,,
R 130 000,Apartment/Flat,,,,0,1,1,,R986,
R 1 300 000,Apartment/Flat,,73m²,R500,0,1,1,1,R1500,1.0
R 900 000,House,400m²,,R350,0,4,2,6,,1.0
R 580 000,Apartment/Flat,,36m²,R242,0,2,1,,R1448,
R 1 799 000,House,995m²,,R1200,1,3,2,2,,
R 700 000,House,475m²,,R600,0,3,1,1,,
R 1 695 000,Townhouse,,154m²,,1,3,3,2,,1.0
R 650 000,Townhouse,,74m²,R300,1,2,1,,R1,
R 1 295 000,Apartment/Flat,,102m²,R1050,1,2,2,1,R2592,0.0
R 550 000,Townhouse,8605m²,50m²,R220,1,1,1,1,R1580,0.0
R 14 999 000,Apartment/Flat,1044m²,2200m²,,0,,,,,
R 15 900 000,House,1280m²,780m²,R4300,1,5,5,12,,1.0
R 3 245 000,House,888m²,887m²,,1,4,2,9,,1.0
R 725 000,Apartment/Flat,,78m²,,1,1,1.5,1,,
R 240 000,Apartment/Flat,993m²,69m²,,0,1,1,,,
R 3 950 000,House,175m²,,,0,3,3,3,,1.0
R 2 500 000,House,995m²,,,1,3,2,,,0.0
POA,IndustrialProperty,3.52m²,,,0,,,,,
R 645 000,Apartment/Flat,,48m²,R443,1,1,1,1,,
R 1 750 000,Apartment/Flat,,130m²,R749,1,2,1.5,1,R3427,0.0
POA,House,836m²,700m²,,0,6,6,4,,1.0
R 595 000,Apartment/Flat,,65m²,R400,0,2,1,1,,0.0
R 2 950 000,CommercialProperty,992m²,992m²,R4886,0,,,,R500,
R 9 500 000,Townhouse,521m²,500m²,R3861,1,3,2.5,3,R4750,0.0
R 2 300 000,Townhouse,222m²,,R950,1,3,2,2,R1800,
R 25 412 500,CommercialProperty,,,,0,,,,,
R 950 000,House,,,,0,5,2,2,,
R 270 000,Apartment/Flat,1487m²,28m²,R383,0,1,1,1,,0.0
R 895 000,House,573m²,,R168,0,3,1,3,,
R 670 000,House,164m²,,,0,3,1,1,,
R 1 650 000,Apartment/Flat,,104m²,R1242,0,2,2,2,R2282,1.0
R 3 150 000,Apartment/Flat,,111m²,R2370,1,2,2,2,R5800,
R 3 550 000,Townhouse,681m²,500m²,R2330,0,4,4.5,2,R1560,1.0
R 2 500 000,House,991m²,,R1116,1,3,2.5,6,,
R 400 000,Apartment/Flat,,85m²,R200,0,2,2,1,R1000,0.0
R 780 000,Apartment/Flat,,78m²,R376,1,2,1,3,R2200,
R 205 000,Apartment/Flat,,28m²,R392,0,0.5,1,,R1038,0.0
R 950 000,Apartment/Flat,,,,0,1,1,,,
R 480 000,Apartment/Flat,802m²,119m²,,0,3,1,1,,
R 1 100 000,House,661m²,,R907,1,5,5,2,,
R 749 000,House,248m²,247m²,R350,0,3,2,1,,0.0
R 850 000,Apartment/Flat,,,,0,3,1,2,,
R 750 000,Apartment/Flat,1799m²,80m²,R1600,0,1,2,1,R2000,
R 1 650 000,Townhouse,,172m²,R1060,0,2,2.5,,R4172,1.0
R 13 800 000,CommercialProperty,,,,0,,,,,
R 700 000,Apartment/Flat,6354m²,32m²,R300,1,2,1,1,R1000,0.0
R 2 399 000,House,991m²,,,0,4,2.5,5,,
R 649 000,,,,,0,,,,,
R 3 399 000,House,1983m²,,R2753,1,3,2,1,,
R 1 800 000,CommercialProperty,400m²,,,0,,,,,
R 1 120 000,House,248m²,,R340,0,3,1,4,,1.0
R 799 000,House,,,,0,3,2,4,,
R 6 999 000,House,1904m²,,,1,3,2.5,4,,1.0
R 980 000,House,495m²,,,0,3,2,4,,
R 2 250 000,House,500m²,230m²,R600,0,3,2,2,R700,
R 470 000,Townhouse,,86m²,R318,0,2,1,3,R1038,0.0
R 600 000,Apartment/Flat,,39m²,,0,1,1,2,,0.0
R 899 999,Townhouse,,,,0,2,1,,,0.0
R 1 980 000,House,495m²,,,0,5,2,2,,
R 730 000,Apartment/Flat,,103m²,R260,0,2,1,2,R1270,
R 8 908 900,Apartment/Flat,,188m²,,0,3,3.5,2,R6539,
R 645 000,Apartment/Flat,,,R161,0,2,1,1,R1600,
R 3 848 900,Apartment/Flat,,102m²,,0,2,2,,R2778,
R 4 000 000,IndustrialProperty,1136m²,1800m²,,0,,,,,
R 995 000,Apartment/Flat,,52m²,R398,0,1,1,1,R1550,0.0
R 2 700 000,House,1088m²,,R1400,1,5,2,8,,1.0
R 1 520 000 - R 1 755 000,,,,,0,,,,,
R 350 000,Apartment/Flat,,24m²,R569,0,0.5,1,,R1456,0.0
R 350 000,Apartment/Flat,,108m²,R300,0,2,1,1,R1600,0.0
R 3 395 000,VacantLand/Plot,,,,0,,,,,
R 1 250 000,Townhouse,,123m²,R250,0,3,2,3,R2678,
R 1 450 000,Apartment/Flat,,86m²,R1016,0,2,2,2,R2189,0.0
R 525 000,Apartment/Flat,1000m²,42m²,,0,1,1,,,
R 5 999 500,House,500m²,425m²,R2800,1,4,4,4,,1.0
R 415 000,Apartment/Flat,,,R2141,0,3,2,1,,
R 3 150 000,House,495m²,,,0,3,2.5,2,,1.0
R 2 420 500,VacantLand/Plot,689m²,,,0,,,,R1375,
R 1 650 000,Apartment/Flat,82m²,82m²,R1303,0,2,1,1,R1600,0.0
R 4 000 000,IndustrialProperty,1131m²,1131m²,,0,,,,,
R 720 000,House,77210m²,137m²,,0,3,2,5,R1352,1.0
R 519 000,House,406m²,,,0,2,1,,,1.0
R 1 670 000,House,991m²,,R1900,1,6,2.5,2,,1.0
R 1 175 000,Apartment/Flat,105m²,105m²,,0,2,2.5,1,,
R 480 000,Apartment/Flat,1016m²,29m²,,0,1,1,,,
R 2 300 000,House,495m²,,R2000,1,3,1,2,,1.0
R 675 000,Apartment/Flat,,50m²,,0,2,1,1,,
R 3 170 000,VacantLand/Plot,,,,0,,,,,
R 1 200 000,House,,,,0,3,2,4,,
R 750 000,VacantLand/Plot,,,,0,,,,,
R 380 000,Apartment/Flat,,83m²,R450,0,1,1,1,R1800,0.0
R 800 000,House,495m²,,,0,3,1,,,
R 750 000,Apartment/Flat,,126m²,R500,1,3,2,2,R3100,
R 2 395 000,House,2670m²,350m²,R659,0,4,2,,,0.0
R 620 000,Apartment/Flat,,57m²,,1,3,1,,,
R 3 850 000,House,1475m²,,,1,3,3,4,,1.0
R 4 000 000,House,2082m²,,R2000,0,3,2,8,,1.0
R 4 250 000,Apartment/Flat,,148m²,,0,2,2.5,2,,0.0
R 975 000,Apartment/Flat,2978m²,103m²,R450,1,2,1,2,R2490,1.0
R 1 399 000,Townhouse,,136m²,,1,4,3,2,,1.0
R 370 000,Apartment/Flat,,40m²,,0,1,1,,,0.0
R 525 000,Apartment/Flat,,32m²,R288,0,,1,1,R1945,
R 450 000,Apartment/Flat,,26m²,,0,1,1,1,,0.0
R 2 850 000,House,1236m²,600m²,R1377,0,6,4,4,,1.0
R 735 000,Apartment/Flat,,,,0,2,1.5,1,R1350,0.0
R 22 000 000,IndustrialProperty,6800m²,5962m²,R1,0,,,,R1,
R 3 899 000,House,1360m²,,,0,3,3.5,6,,
R 2 300 000,House,995m²,301m²,,1,3,2,2,,0.0
R 2 980 000,Apartment/Flat,,97m²,R1816,1,2,2,2,R6168,
R 1 499 000,Apartment/Flat,,118m²,,0,2,2,2,,
R 1 150 000,Townhouse,,125m²,,1,2,2,2,,0.0
R 6 999 000,Townhouse,1280m²,600m²,,1,4,4.5,3,R4000,1.0
R 1 290 000,Apartment/Flat,10882m²,146m²,R450,1,3,2,1,R2014,0.0
R 199 000,Apartment/Flat,1490m²,92m²,,0,1,1,1,,0.0
R 4 490 000,Townhouse,,240m²,R3388,0,3,3.5,2,R3281,
R 650 000,House,,,,0,,,,,
R 850 000,House,,,,0,2,1,,,
R 13 999 999,CommercialProperty,3000m²,7000m²,R40000,0,,,,,0.0
R 1 575 000,Apartment/Flat,,104m²,,1,2,2,1,R2106,0.0
R 2 999 000,House,1147m²,,R1736,1,4,2,2,,1.0
R 252 000,Apartment/Flat,,,R500,0,1,1,1,R1000,
R 595 000,Apartment/Flat,200m²,43m²,R300,0,3,1,,R1350,
R 3 200 000,House,990m²,600m²,R2300,0,5,4.5,5,,1.0
R 495 000,Apartment/Flat,,25m²,,1,1,1,1,,0.0
R 2 200 000,Apartment/Flat,,71m²,R1700,0,2,2,2,R2000,
R 7 499 000,House,647m²,,,1,3,4,4,,
R 600 000,House,314m²,,R747,0,3,1,,,1.0
R 1 060 000,Apartment/Flat,,117m²,R692,1,3,1,1,R2400,
R 1 590 000,House,495m²,,,1,4,2,2,,
R 599 000,Apartment/Flat,,53m²,R327,0,2,1,1,R2380,
R 2 599 000,House,1329m²,250m²,R3000,1,4,2,5,,
R 7 000 000,House,1350m²,535m²,R2200,1,4,3,4,,1.0
R 890 000,House,496m²,,,0,3,1,1,,0.0
R 7 990 000,House,1733m²,,R4327,1,5,4,4,,1.0
R 2 800 000,House,496m²,,,0,3,3,3,,
R 2 850 000,House,1283m²,,R1474,1,5,4,2,,1.0
R 350 000,Apartment/Flat,,53m²,,0,0.5,1,,R1008,0.0
R 1 250 000,Apartment/Flat,,105m²,R450,0,1,1,1,R2600,1.0
POA,House,496m²,,,0,3,1,4,,
R 2 399 999,House,495m²,400m²,R800,1,5,4,12,,1.0
R 799 000,Apartment/Flat,,,R435,1,3,1,,R1300,0.0
R 1 395 000,House,1155m²,,R817,0,3,1,3,,1.0
R 450 000,Apartment/Flat,1240m²,131m²,R400,0,2,2,1,,
R 629 000,,,,,0,,,,,
R 500 000,Apartment/Flat,,,,0,2,1,1,,
R 2 200 000,House,1980m²,,R1382,1,6,2.5,,,1.0
R 1 850 000,House,,,,1,4,3,1,,
R 1 299 999,House,991m²,,R646,0,4,2,,,
R 1 850 000,House,888m²,,R1500,1,3,2,2,,1.0
R 1 300 000,House,496m²,,,0,3,2,3,,1.0
R 550 000,Apartment/Flat,,,,1,2,1,,,
R 2 995 000,House,1403m²,400m²,R990,0,7,5,17,,0.0
R 4 200 000,House,2000m²,,R600,0,6,3,2,R400,
R 2 700 000,Apartment/Flat,,64m²,,1,1,1,1,,
R 1 300 000,Apartment/Flat,491m²,174m²,R566,0,3,1.5,,,0.0
R 2 550 000,House,821m²,,R878,0,5,3,6,,
R 2 600 000,VacantLand/Plot,911m²,,,0,,,,R2450,
R 1 175 000,Apartment/Flat,,105m²,R3085,0,1,1,1,R2600,1.0
R 11 500 000,House,4047m²,900m²,R7600,1,5,4,14,,
R 329 995,Apartment/Flat,,92m²,R200,0,2,1,,R1255,
R 570 000,Apartment/Flat,,59m²,,0,1,1,1,,
R 8 999 999,CommercialProperty,,,,0,,,,,
R 2 499 000,Apartment/Flat,,122m²,R1125,1,1,1,1,R3672,
R 600 000,Apartment/Flat,995m²,38m²,R200,1,1,1,,R1600,0.0
R 375 000,Apartment/Flat,,33m²,R350,0,1,1,2,R900,
R 820 000,Townhouse,,,R250,1,2,1,1,R1450,
R 695 000,Townhouse,1000m²,117m²,R765,0,2,1.5,,,0.0
R 2 850 000,VacantLand/Plot,660m²,,,0,,,,R1780,
R 1 199 000,House,,,,0,3,2,8,,
R 590 000,Apartment/Flat,,61m²,,0,2,1,1,R780,
R 760 000,Apartment/Flat,,74m²,R390,1,2,2,2,R1990,
R 2 850 000,House,1428m²,,R1390,1,4,2,1,R520,
R 5 299 000,House,2965m²,,,0,3,1,2,,0.0
R 2 499 999,House,990m²,495m²,R1300,1,3,1.5,9,,
R 720 000,Townhouse,,,,1,2,2,2,,
POA,House,1024m²,620m²,R3650,1,4,3,6,,1.0
R 230 000,Apartment/Flat,,33m²,,0,0.5,1,1,R481,0.0
R 4 800 000,House,506m²,365m²,R1100,0,4,2,4,R1961,1.0
R 28 000 000,IndustrialProperty,,35000m²,R1,0,,,,R1,
R 2 060 000,Apartment/Flat,,121m²,R4680,0,2,2,1,R2670,
R 1 999 000,Apartment/Flat,141m²,141m²,R1000,0,2,2,,R3259,
R 1 700 000,CommercialProperty,495m²,,R1500,0,,,,,
R 1 190 000,Apartment/Flat,,74m²,R845,1,1,1,1,R2917,
R 2 599 000,House,998m²,998m²,R890,1,4,2,5,,1.0
R 1 685 000,Apartment/Flat,,113m²,,0,2,1,2,,1.0
R 5 000 000,House,929m²,,,1,4,4,2,,1.0
R 1 100 000,House,596m²,,,1,2,1,,,1.0
R 3 999 000,House,1963m²,,,1,5,2.5,10,,1.0
R 3 350 000,House,496m²,200m²,,0,3,2,4,,
R 1 990 000,Apartment/Flat,,89m²,,1,2,2,2,,0.0
R 2 480 000,House,477m²,,,0,4,2,7,,1.0
R 900 000,House,373m²,150m²,,0,3,2,,,
R 2 100 000,House,932m²,,,0,4,3,5,,1.0
R 900 000,Apartment/Flat,,63m²,,0,2,1,1,,
R 4 350 000,House,495m²,,,1,3,3.5,2,,1.0
R 2 500 000,House,1205m²,,,0,5,2,1,,
R 1 050 000,Townhouse,,99m²,R600,1,3,2,2,R2100,
R 2 370 500,Apartment/Flat,53.5m²,53m²,,0,1,1,,R1800,
R 3 765 000,Apartment/Flat,75.4m²,75m²,,0,2,2,,R2800,
R 2 390 000,Townhouse,258m²,258m²,,1,4,3,2,R2106,1.0
R 1 650 000,House,1000m²,,R700,0,3,2,2,,1.0
R 980 000,Townhouse,42000m²,71m²,R550,0,3,2,,R1850,0.0
R 12 500 000,House,818m²,751m²,R8300,1,5,4.5,2,R7800,
R 1 695 000,House,1064m²,,R786,1,3,2,4,,1.0
R 590 000,Apartment/Flat,,60m²,,1,,1,1,,0.0
R 2 000 000,House,516m²,515m²,R4478,0,3,3,,,
R 5 550 000,House,1487m²,464m²,R3315,1,4,3,5,,1.0
R 7 095 000,Farm,,,R1308,0,,,,,1.0
R 2 499 000,House,972m²,,,0,4,5,,,1.0
R 745 000,House,,48m²,R380,0,2,1,,R700,0.0
R 880 000,Apartment/Flat,,144m²,,0,3,2,2,R2500,0.0
R 1 795 000,House,945m²,,R800,0,4,2,3,,1.0
R 1 350 000,House,,,R1500,0,3,2,2,R1,1.0
R 2 700 000,House,1083m²,300m²,,0,3,3,2,,
R 1 349 000,Apartment/Flat,,132m²,R924,1,2,2,1,R3723,0.0
R 1 099 000,Apartment/Flat,,62m²,,1,1,1,1,,
R 2 999 000,Townhouse,,291m²,R1395,1,4,3,3,R5419,
R 2 350 000,Apartment/Flat,2028m²,108m²,R1900,0,2,2,2,R3969,1.0
R 1 190 000,Townhouse,,152m²,R657,1,3,2.5,1,R3057,1.0
R 8 000,CommercialProperty,,,,0,,,,,
R 2 200 000,Apartment/Flat,,43m²,,1,1,1,1,R2000,
R 899 000,Apartment/Flat,,142m²,R641,0,2,1.5,2,R2797,
R 7 950 000,House,3493m²,,,1,3,2.5,4,,0.0
R 320 000,Apartment/Flat,,33m²,R1800,0,1,1,1,R250,
R 349 999,Apartment/Flat,26m²,26m²,,0,1,1,1,R700,0.0
R 495 000,Apartment/Flat,500m²,66m²,R892,0,1,1,,,
R 750 000,Townhouse,69m²,69m²,,0,3,2,1,,
R 1 350 000,House,496m²,,,0,3,2,3,,
R 790 000,House,751m²,,,0,4,3,,,
R 620 000,Townhouse,,62m²,R359,0,2,1,1,,0.0
R 3 995 000,House,1487m²,,R3800,1,5,4,3,,1.0
R 2 850 000,House,1716m²,,R1591,1,4,2,5,,1.0
R 1 390 000,House,1137m²,,R600,1,3,1.5,1,,1.0
R 2 150 000,Apartment/Flat,,110m²,,1,2,2,2,,0.0
R 1 100 000,House,778m²,,R700,1,3,2,,,1.0
R 2 475 000 - R 2 499 000,,,,,0,,,,,
R 2 070 000,VacantLand/Plot,,,,0,,,,,
R 39 990 000,CommercialProperty,,,,0,,,,,
R 1 250 000,Apartment/Flat,,49m²,R650,1,1,1,1,R2300,
R 650 000,Apartment/Flat,,74m²,R550,0,2,1,,R1400,0.0
R 760 000,Apartment/Flat,,,,0,3,1,,,0.0
R 2 100 000,House,248m²,140m²,R540,0,2,1,1,,0.0
R 900 000,VacantLand/Plot,1405m²,,R533,0,,,,,
R 1 300 000,House,,,,0,4,3,1,,
R 400 000,Apartment/Flat,,40m²,,0,1,1,,,
R 850 000,House,,,,0,3,1,,,1.0
R 895 000,Apartment/Flat,,79m²,R498,0,2,1,,R2524,0.0
R 1 900 000,House,,,,0,3,2,3,,
R 750 000,Apartment/Flat,47m²,41m²,,0,1,1,1,,0.0
R 1 245 000,Townhouse,,,,1,3,2,1,,1.0
R 4 450 000,House,1516m²,,R5395,1,4,4,4,,
R 1 350 000,House,495m²,495m²,,0,3,1.5,1,,
R 900 000,Apartment/Flat,,104m²,,0,1,1,,R2810,
R 2 350 000,House,1490m²,,,0,9,7,2,,1.0
R 2 950 000,House,,,,1,5,3,2,,
R 1 050 000,Apartment/Flat,60m²,60m²,R630,0,1,1,1,R1200,1.0
R 2 500 000,House,793m²,,,0,6,3,2,,
R 4 450 000,House,1650m²,493m²,,0,5,5,8,,1.0
R 1 400 000,House,495m²,,,0,3,1,,,
R 195 000,Apartment/Flat,495m²,68m²,,0,1,1,,,0.0
R 895 000,Apartment/Flat,,98m²,R800,0,2,2,3,R1399,
R 1 800 000,House,648m²,151m²,R524,0,4,2,8,,
R 1 290 000,House,327m²,,,0,3,2,5,,0.0
R 2 650 000,House,2091m²,,R700,1,3,2,16,,
R 350 000,Apartment/Flat,,29m²,R300,1,0.5,1,,R940,
R 669 999,Apartment/Flat,,57m²,,1,2,1,2,,0.0
R 695 000,Apartment/Flat,61m²,61m²,R450,0,3,1,,R2100,
R 1 200 000,House,,,,0,3,2,2,,
R 1 250 000,House,496m²,,,0,4,2,6,,1.0
R 2 550 000,Apartment/Flat,,118m²,R1600,1,2,2,2,R4998,1.0
R 1 149 000 - R 1 219 000,,,,,0,,,,,
R 699 000,House,600m²,,,0,4,1,1,,
R 2 250 000,Apartment/Flat,,156m²,R938,0,3,2,1,R3920,0.0
R 699 000,Apartment/Flat,,49m²,R400,1,2,1,,R1862,0.0
R 7 200 000,Apartment/Flat,,,,0,3,3,2,,0.0
R 46 000 000,Farm,,,,0,,,,,
R 600 000,House,250m²,,R333,0,3,2.5,1,,0.0
R 1 199 000,House,,,R450,0,3,2,2,R1500,1.0
R 8 200 000,House,2082m²,,R3763,1,4,3.5,4,,1.0
R 773 000,House,200m²,60m²,R500,0,3,1,2,,1.0
R 1 800 000,House,829m²,186m²,R800,1,5,3,1,,0.0
R 2 365 000,Apartment/Flat,47.3m²,47m²,,0,1,1,1,R1800,
R 3 799 000,House,496m²,280m²,R2000,0,4,3,4,,1.0
R 6 500 000,House,495m²,,,0,14,14,,,
R 8 000 000,VacantLand/Plot,2175m²,,,0,,,,,
R 2 525 000,Apartment/Flat,,118m²,R1588,1,2,2,4,R5526,0.0
R 1 600 000,Farm,,,,0,,,,,
R 470 000,Apartment/Flat,,,,0,2,1,,,0.0
R 476 000,Apartment/Flat,,69m²,,0,1,1,,,
R 488 000,Apartment/Flat,,80m²,,0,1,1,,,
R 2 145 000,Apartment/Flat,,125m²,,0,2,2,2,R2238,1.0
R 880 000,House,413m²,,R400,0,3,1,2,,1.0
R 1 790 000,Apartment/Flat,3724m²,59m²,R1000,0,2,1,2,R2165,
R 6 950 000,House,870m²,600m²,R4672,1,4,3.5,7,R3750,0.0
R 380 000,Apartment/Flat,372m²,122m²,R300,0,2,2,1,R2000,0.0
R 1 850 000,House,996m²,,,0,3,2,7,,
R 3 900 000,House,1806m²,,,1,4,3,3,,
R 4 500 000,House,495m²,350m²,R3660,0,8,6,2,,0.0
R 2 999 000,House,4577m²,,R530,0,3,2,,,
R 695 000,Apartment/Flat,,107m²,R403,0,2,1,1,R3192,0.0
R 2 390 000,House,1990m²,,R1215,1,4,2,2,,
R 6 650 000,House,,,,0,4,4,2,,0.0
R 520 000,Apartment/Flat,,78m²,R550,0,1,1,2,R1520,
R 3 900 000,VacantLand/Plot,,,,0,,,,,
R 1 220 000,Apartment/Flat,,114m²,R653,1,2,2,1,R3085,
POA,IndustrialProperty,1240m²,744m²,,0,,,,,
R 860 000,House,,,,0,4,2,,,
R 650 000,Townhouse,60m²,60m²,,0,2,1,,,
R 780 000,CommercialProperty,900m²,500m²,R650,0,,,,,
R 4 500 000,Apartment/Flat,,200m²,R1535,0,4,4,2,R6835,0.0
R 1 949 000,House,496m²,380m²,R648,1,5,3.5,2,,1.0
R 680 000,House,248m²,,R460,0,4,4,,,
R 650 000,Townhouse,60m²,60m²,,0,2,1,,,
R 1 190 000,Townhouse,,,R650,0,1,1,,R1200,
R 2 650 000,House,495m²,,,1,3,3,3,,
POA,IndustrialProperty,,,,0,,,,,
R 9 898 900,Apartment/Flat,,237m²,,0,3,3,,R7875,
R 680 000,House,252m²,,R544,0,3,1,6,,1.0
R 7 500 000,House,941m²,754m²,R4642,1,5,4.5,4,R1928,
R 5 500 000,Apartment/Flat,,144m²,R3477,1,3,2,2,R6363,
R 500 000,Apartment/Flat,,96m²,,0,2,1,1,,
R 820 000,Townhouse,,,R250,0,3,1,3,R1100,
R 2 499 000,House,995m²,300m²,,1,3,3,1,,1.0
R 3 355 000 - R 3 730 000,,,,,0,,,,,
R 3 395 000,Apartment/Flat,,83m²,,0,2,2,,,0.0
R 950 000,House,450m²,195m²,R685,1,5,2,5,,0.0
R 670 000,Apartment/Flat,,48m²,,0,1,1,1,,
R 530 000,Apartment/Flat,,57m²,,1,2,1,1,,0.0
R 1 399 000,Apartment/Flat,,82m²,R907,0,2,2,1,R3206,1.0
R 2 200 000,House,888m²,,R1104,1,6,4,6,,
R 780 000,House,187m²,,,0,1,1,,,1.0
R 2 080 000,House,1487m²,,R2100,0,4,2.5,4,,
R 1 395 000,House,,,,0,,,,,
R 1 400 000,Townhouse,1m²,1m²,R594,0,3,2,2,R2300,0.0
R 210 000,Apartment/Flat,,27m²,,0,0.5,1,,R437,0.0
R 540 000,Apartment/Flat,,48m²,,0,1,1,1,,
R 750 000,Apartment/Flat,,78m²,R376,1,2,1,1,R1212,0.0
R 7 849 000,House,802m²,650m²,R2500,1,4,4.5,3,R2203,1.0
R 699 000,Apartment/Flat,,65m²,,0,1,1,1,,
R 799 000,Apartment/Flat,,,,0,3,2,,R1300,0.0
R 1 195 000,Apartment/Flat,,,R700,0,2,2,1,R1094,
R 1 250 000,Townhouse,,,,0,1,1,3,R2025,
R 650 000,Apartment/Flat,,,R533,0,3,1,,R873,
R 2 395 000,Apartment/Flat,,102m²,R2048,1,2,2,2,R3785,0.0
R 6 378 900,Apartment/Flat,,137m²,,0,2,2.5,2,R4828,
R 1 200 000,CommercialProperty,318m²,,,0,,,,,
R 4 670 000,House,1983m²,,,1,3,3,4,,1.0
R 3 999 990,House,2290m²,,R1800,1,4,3.5,6,,
R 12 000 000,IndustrialProperty,3514m²,3411m²,,0,,,,,
R 5 999 000,House,3742m²,,,1,4,3.5,5,,1.0
R 799 000,Apartment/Flat,,108m²,R500,0,3,1.5,1,R1134,
R 3 200 000,House,922m²,,R1300,1,4,3,6,,1.0
