price,bedrooms,bathrooms,Type of Property,Floor Size,Levies,Rates and Taxes,Pets Allowed,Pool,Erf Size,parking space
R 500 000,2,1,Apartment/Flat,34m²,R1500,R250,,0,,
R 1 900 000,3,3,House,,,R1900,0.0,0,1305m²,
R 6 999 000,3,3.5,Townhouse,,,,1.0,1,736m²,3
R 550 000,2,1,Apartment/Flat,46m²,R1280,,,0,3000m²,
R 8 950 000,4,4.5,House,,,R4305,1.0,1,1614m²,2
R 1 800 000,,,House,,,,,0,,
R 8 499 900,,,,,,,,0,,
R 1 299 000,3,2,Apartment/Flat,106m²,R1350,R363,,0,,2
R 1 599 000,3,2,Apartment/Flat,99m²,R1600,R980,,0,,2
R 650 000,2,1,Townhouse,,,,,0,,
R 690 000,2,1,Townhouse,69m²,R1650,R397,0.0,1,11297m²,1
R 6 900 000,,,VacantLand/Plot,,,R6429,,0,87816m²,
POA,3,2,House,,,,,1,,1
R 615 000,5,1.5,Apartment/Flat,164m²,R3700,R7,0.0,0,,1
R 899 000,3,2,Apartment/Flat,96m²,R1500,,,0,,
R 1 400 000,2,2,Apartment/Flat,77m²,R2849,R913,,1,,
R 545 000,2,1,Apartment/Flat,82m²,R1500,R240,0.0,1,,1
R 1 095 000,2,2,House,,,R1000,1.0,0,495m²,2
R 850 000,3,2,House,70m²,,R500,1.0,0,200m²,2
R 925 000,2,2,Townhouse,104m²,R1212,R250,,1,,1
R 950 000,2,1,Apartment/Flat,110m²,,R630,,1,,2
R 3 500 000,2,2,House,1m²,,R2500,1.0,1,496m²,2
R 1 845 000,2,2,Apartment/Flat,143m²,R3414,R1496,0.0,1,,1
R 2 500 000,3,3,House,,,R1805,,1,495m²,3
R 450 000,,1,Apartment/Flat,26m²,,,,0,,
R 2 475 000 - R 2 499 000,,,,,,,,0,,
R 520 000,2,1,Townhouse,61m²,,,0.0,1,,1
R 920 000,3,2,Townhouse,69m²,,R560,1.0,1,6094m²,2
R 1 140 000,2,1,House,198m²,,R437,1.0,0,496m²,2
R 5 995 000,4,3,House,,,,1.0,1,630m²,4
R 1 325 000,2,2,Townhouse,134m²,R2650,R500,1.0,0,,1
R 515 000,1,1,Apartment/Flat,55m²,R1600,R350,,1,3000m²,1
R 400 000,3,1,House,124m²,,,1.0,0,124m²,1
R 1 700 000,3,2,House,,,R870,,0,1000m²,2
R 2 199 000,13,8,House,,,R800,,1,1002m²,2
R 1 200 000,3,2,House,212m²,,R850,1.0,0,496m²,6
