price,bedrooms,bathrooms,parking space,Type of Property,Erf Size,Pets Allowed,Pool,Floor Size,Levies,Rates and Taxes
R 490 000,2,1,1,Apartment/Flat,,0.0,0,111m²,R1220,R205
R 255 000,1,1,,Apartment/Flat,,,0,58m²,R800,R500
R 7 400 000,4,4,1,House,695m²,,0,,,
R 13 000 000,,,,IndustrialProperty,,,0,,,
R 4 800 000,,,,House,,,0,,,
R 3 650 000,,,,VacantLand/Plot,1500m²,,0,,,
R 480 000,2,1,1,Apartment/Flat,,,0,,,
R 8 800 000,,,,House,,,0,,,
R 1 800 000,,,,CommercialProperty,,,0,,,
R 440 000,1,1,,Apartment/Flat,,,0,,,
R 190 000,1,1,1,Apartment/Flat,,,0,,,
R 270 000,2,1,,House,,,0,,,
R 920 000,3,2,,Apartment/Flat,,,0,,,
R 500 000,2,1,,Apartment/Flat,,,0,,,
R 255 000,2,1.5,1,Apartment/Flat,,0.0,0,71m²,R1365,R98
R 670 000,3,1,2,Apartment/Flat,,0.0,0,97m²,R1800,R200
R 1 450 000,,,,CommercialProperty,,,0,,,
R 2 999 000,,,,VacantLand/Plot,,,0,,,
R 8 500 000,,,,VacantLand/Plot,,,0,,,
R 950 000,2,2,2,Townhouse,,0.0,1,,,
R 7 350 000,4,4,1,House,,,0,,,
POA,,,,CommercialProperty,16240m²,,0,16836m²,,
R 1 500 000,,,,VacantLand/Plot,,,0,,,
R 11 000 000,,,,Apartment/Flat,248m²,,0,873m²,,
R 14 995 000,,,,Apartment/Flat,,,0,,,
R 365 000,4,1.5,1,Apartment/Flat,,0.0,0,103m²,R2697,R142
R 390 000,0.5,1,1,Apartment/Flat,,0.0,0,35m²,R740,
R 1 299 000,3,2,2,House,,0.0,0,,,
R 16 000 000,,,,CommercialProperty,3223m²,,0,,,
R 17 000 000,,,,CommercialProperty,4200m²,,0,,,
R 2 990 000,7,7,2,House,991m²,0.0,1,,,
R 2 900 000,,,,VacantLand/Plot,1000m²,,0,,,
R 1 499 000,,,,CommercialProperty,495m²,0.0,0,60m²,,
R 570 000,,,,,,,0,,,
R 1 650 000,,,,VacantLand/Plot,,,0,,,
R 700 000,3,1,1,House,346m²,,0,,,
R 1 800 000,20,3,,House,,0.0,0,507m²,,R5672
R 1 650 000,,,,Apartment/Flat,,,0,,,
R 2 980 000,,,,CommercialProperty,,,0,,,
R 349 999,1,1,1,Apartment/Flat,,,0,,,
R 4 850 000,,,,CommercialProperty,,,0,,,
R 1 150 000,3,1,2,House,,,0,,,
R 6 800 000,4,4,2,House,695m²,,0,,,
R 12 600 000,,,,VacantLand/Plot,6500m²,,0,,,
R 350 000,1,1,,House,200m²,,0,,,
R 549 000,,,,Apartment/Flat,,,0,,,
R 549 000,,,,Apartment/Flat,,,0,,,
R 3 500 000,3,2,2,Apartment/Flat,,,0,,,
R 1 650 000,,,,Apartment/Flat,,,0,,,
POA,3,2,,House,,,0,,,
R 9 146 000,5,5,3,House,724m²,,0,,,
R 950 000,3,1,4,House,,,0,,,
R 850 000,3,1,,House,250m²,,0,,,
R 4 500 000,,,,VacantLand/Plot,,,0,,,
R 1 800 000 - R 5 400 000,,,,,,,0,,,
R 747 000,3,1,,House,,,0,,,
R 700 000,2,1,,House,254m²,,0,,,
R 2 000 000,,,,House,,,0,,,
R 1 400 000,,,,VacantLand/Plot,,,0,,,
R 1 100 000,,,,VacantLand/Plot,,,0,,,
R 480 200,,,,CommercialProperty,98m²,,0,,,
R 5 900 000,,,,VacantLand/Plot,1491m²,,0,,,
R 3 800 000,,,,VacantLand/Plot,1400m²,1.0,0,,,
R 35 000 000,,,,CommercialProperty,,,0,,,
R 2 950 000,3,1,,House,,0.0,0,1325m²,,
R 6 400 000,,,,CommercialProperty,239m²,,0,,,
R 5 900 000,,,,CommercialProperty,1485m²,,0,,,
R 990 600,,,,CommercialProperty,254m²,,0,,,
R 2 300 000,29,6,,House,,0.0,0,,,
R 2 500 000,,,,Apartment/Flat,,,0,,,
R 3 700 000,,,,IndustrialProperty,1000m²,,0,,,
R 1 800 000,8,4,,House,,,0,,,
R 1 780 999,,,,CommercialProperty,495m²,,0,,,
R 4 300 000 - R 4 600 000,,,,,,,0,,,
R 1 000 000,8,8,,House,495m²,,0,,,
R 4 500 000,,,,VacantLand/Plot,1472m²,1.0,0,,,
R 980 000,3,1,,House,,,0,,,
R 9 000 000,,,,House,,,0,,,
R 12 995 000,,,,CommercialProperty,,,0,,,
R 2 500 000,,,,Apartment/Flat,,,0,,,
R 37 999 000,,,,CommercialProperty,,,0,,,
R 2 500 000,,,,Apartment/Flat,,,0,,,
R 40 000 000,,,,CommercialProperty,5261m²,,0,,,
R 1 495 000,,,,Apartment/Flat,,,0,,,
R 2 500 000,,,,Apartment/Flat,,,0,,,
R 7 500 000,31,31,,House,473m²,,0,,,
R 5 000 000,12,6,,Townhouse,,,0,,,
R 2 500 000,,,,Apartment/Flat,,,0,,,
R 15 995 000,,,,CommercialProperty,,,0,,,
R 10 999 000,,,,CommercialProperty,,,0,,,
R 16 999 000,,,,CommercialProperty,,,0,,,
R 420 000,2,1,,House,358m²,,0,,,
R 430 000,,,,VacantLand/Plot,900m²,,0,,,
R 739 000 - R 789 000,,,,,,,0,,,
R 15 950 000,,,,CommercialProperty,,,0,,,
R 490 000,,,,Apartment/Flat,,,0,,,
R 15 995 000,,,,CommercialProperty,,,0,,,
R 4 000 000,,,,CommercialProperty,,,0,,,
R 15 950 000,,,,CommercialProperty,,,0,,,
R 2 500 000,,,,Apartment/Flat,,,0,,,
R 1 450 000,2,1,,Apartment/Flat,,,0,,,
R 19 995 000,,,,CommercialProperty,,,0,,,
R 19 995 000,,,,CommercialProperty,,,0,,,
R 12 995 000,,,,CommercialProperty,,,0,,,
R 8 000 000,,,,House,,,0,,,
R 26 500 000,,,,VacantLand/Plot,,,0,,,
R 1 050 000,17,1,,House,,,0,,,
R 16 000 000,,,,CommercialProperty,3444m²,,0,,,
R 1 600 000,,,,CommercialProperty,495m²,,0,,,
POA,,,,IndustrialProperty,,,0,,,
R 1 345 000,,,,House,300m²,1.0,0,95m²,,
R 755 000,2,1,1,Apartment/Flat,56m²,0.0,0,56m²,R1335,R150
R 2 900 000,3,2.5,2,Townhouse,,,1,175m²,R3100,
R 620 000,2,1,1,Apartment/Flat,,,0,65m²,,
R 2 700 000 - R 5 400 000,,,,,,,0,,,
R 2 350 000,2,2.5,2,Townhouse,,,0,148m²,R2540,R1490
R 665 000,2,1,1,Apartment/Flat,,,0,,R600,R200
R 990 000,3,2,1,Townhouse,,,0,,R1912,R531
R 2 400 000,6,2,,House,,,0,,,
R 4 200 000,8,4,,House,,,0,,,
R 1 500 000,4,2,,House,,,0,,,
R 1 650 000,4,2,,House,,,0,,,
R 2 400 000,8,2,3,House,,0.0,0,,,
R 1 800 000,4,2,,House,,,0,,,
R 950 000,2,1,1,Townhouse,,,1,,R1650,R640
R 1 700 000,9,6,3,House,,,0,,,
