price,bedrooms,bathrooms,Type of Property,Pool,parking space,Erf Size,Levies,Rates and Taxes,Pets Allowed,Floor Size
R 600 000,2,1,Apartment/Flat,0,1,,R1895,R400,,68m²
R 2 199 999,3,3,Townhouse,1,2,,,,1.0,340m²
R 1 299 000,3,2,Apartment/Flat,0,,,R1350,R343,,106m²
R 1 199 000,2,2,Apartment/Flat,0,,,R1325,R263,,101m²
R 4 200 000,2,2,Apartment/Flat,1,2,,,,,85m²
R 1 330 000,1,1,Apartment/Flat,1,2,,R818,,1.0,71m²
R 4 455 000,2,2,Apartment/Flat,1,2,,,,0.0,
POA,3,2.5,House,0,2,,,,,273m²
R 2 300 000,2,2,Apartment/Flat,0,2,,R6605,R1804,,161m²
R 2 350 000,2,2,House,0,2,600m²,,R600,,124m²
R 4 300 000 - R 4 600 000,,,,0,,,,,,
R 1 850 000,18,6,Apartment/Flat,0,,,,,,
R 3 750 000,3,3,House,1,2,495m²,,R2067,1.0,249m²
R 1 380 000,5,2,House,0,4,546m²,,,,
R 3 995 000,3,2,House,1,7,977m²,,,1.0,
R 1 520 000,3,2.5,House,1,2,990m²,,R900,1.0,
R 3 950 000,5,2,House,1,7,2010m²,,R3298,,
R 620 000,3,1,Townhouse,0,2,,,,0.0,
R 500 000,2,1,Townhouse,0,1,103m²,R1500,,,
R 1 350 000,3,1,House,0,9,495m²,,R500,,
R 1 850 000,2,1,Apartment/Flat,0,2,,R2005,R1200,0.0,59m²
R 1 450 000,10,5,House,0,,508m²,,,1.0,
R 1 380 000,3,2,Apartment/Flat,1,3,37252m²,R2300,R800,1.0,100m²
R 900 000,,,VacantLand/Plot,0,,840m²,,,,
R 1 300 000,4,2,House,0,2,248m²,,R669,1.0,
R 6 950 000,2,2,Apartment/Flat,1,2,,R5851,R3389,0.0,190m²
R 1 650 000,3,2,Townhouse,1,2,,R2400,R950,1.0,354m²
R 1 750 000,5,2,House,0,2,862m²,,,,
R 600 000,2,1,Apartment/Flat,0,1,,R1820,,,65m²
R 2 999 000,3,2.5,House,1,4,1154m²,,,1.0,
R 1 411 328,3,2,House,0,1,,,,0.0,
R 2 975 000,3,3.5,House,0,2,200m²,R3400,,1.0,200m²
R 450 000,2,1,Apartment/Flat,0,1,,R450,R250,,46m²
R 360 000,3,2,Apartment/Flat,0,2,994m²,R1030,R350,0.0,125m²
R 690 000,2,1,Apartment/Flat,1,1,,,,0.0,
R 3 700 000,4,5,House,1,3,991m²,,R2287,1.0,
R 1 995 000,8,4,House,0,8,550m²,,,,
R 480 000,1,1,Apartment/Flat,1,2,10000m²,R1070,R800,0.0,50m²
R 1 080 000,3,1,House,1,,495m²,,R484,1.0,
R 1 179 000,3,2,Apartment/Flat,1,3,,R2750,R300,0.0,163m²
R 950 000,3,2,Townhouse,0,,1580m²,R1803,,0.0,
R 6 250 000,4,3.5,Townhouse,0,6,520m²,R4700,R1550,0.0,380m²
R 2 050 000,3,2,House,0,6,,,,,
R 1 600 000,2,2,Apartment/Flat,1,1,,,,,107m²
R 4 990 000,2,2.5,Apartment/Flat,0,2,,R5645,R2417,,146m²
R 1 950 000,7,4,House,1,1,479m²,,,1.0,
R 1 850 000,2,2,Apartment/Flat,0,2,,,,,
R 2 370 500 - R 2 552 550,,,,0,,,,,,
R 749 999,3,1.5,House,0,1,315m²,,,1.0,
R 2 190 000,4,3,House,1,3,,,,,
R 1 020 000,3,2,Townhouse,0,4,,R1400,R350,,175m²
R 1 350 000,1,1,Apartment/Flat,1,1,61m²,R2204,R850,,61m²
R 899 000,2,1,Townhouse,1,2,,R1490,R613,0.0,100m²
R 640 000,3,2,Townhouse,0,2,,,R350,0.0,79m²
R 2 050 000,,,VacantLand/Plot,0,,4198m²,,,,
R 825 000,2,1.5,Townhouse,0,,,,R867,1.0,142m²
R 1 190 000,3,2,House,0,4,,,,,
R 850 000,3,3,House,0,3,684m²,,R155,1.0,
POA,,,Apartment/Flat,0,,,,,,
R 5 800 000,,,CommercialProperty,0,,3218m²,,,,
R 3 200 000,2,2,Apartment/Flat,1,,,R3297,R1493,,131m²
R 570 000,2,1,Townhouse,1,1,,R1800,R290,0.0,59m²
R 3 500 000,,,CommercialProperty,0,,,,,,1017m²
R 930 000,3,2,House,0,2,163m²,,,1.0,
R 2 500 000,3,2,House,1,4,,,,,
R 395 000,1,1,House,0,1,,,,1.0,
R 2 800 000,10,5,Apartment/Flat,0,10,991m²,,R760,,
R 5 400 000,3,2,House,1,2,618m²,,,0.0,276m²
R 1 075 000,,,CommercialProperty,0,,498m²,,R850,,350m²
R 1 950 000,3,2,Townhouse,1,2,,R2400,R950,1.0,355m²
R 3 590 000,3,2,House,0,,1447m²,,R3550,1.0,240m²
R 950 000,8,,House,0,,,,,,
R 535 000,,1,Apartment/Flat,1,,,R1300,R300,0.0,32m²
R 2 600 000,,,IndustrialProperty,0,,1150m²,,,,1376m²
R 2 599 999,,,CommercialProperty,0,,,,,,
R 3 694 950,,,VacantLand/Plot,0,,,,,,
R 6 609 050,,,VacantLand/Plot,0,,,,,,
