price,bedrooms,bathrooms,parking space,Type of Property,Erf Size,Floor Size,Levies,Rates and Taxes,Pets Allowed,Pool
R 1 199 000,3,3,6,House,600m²,,,,,0
R 1 700 000,8,4,,House,,,,,0.0,0
R 580 000,1,1,1,Townhouse,,52m²,R1062,R400,,1
R 3 200 000,5,4,4,House,,495m²,,,1.0,0
R 2 800 000,5,2.5,2,House,331m²,,,R1800,,1
R 699 000,2,1,1,Apartment/Flat,8947m²,,,,0.0,1
R 380 000,,1,,Apartment/Flat,33m²,,R890,R923,,0
R 250 000,,1,,Apartment/Flat,2482m²,74m²,R2055,R246,,0
R 2 399 000,3,2,,House,990m²,,,,,0
R 4 200 000,4,6,5,House,1122m²,1060m²,,R2099,1.0,1
R 70 000 000,5,5.5,4,Apartment/Flat,,,,,,1
R 1 950 000,3,2,2,Townhouse,,,,,,1
R 5 000 000,2,2,,Apartment/Flat,149m²,,,R4244,,0
R 550 000,3,1,1,Apartment/Flat,4313m²,50m²,,,,0
R 13 500 000,,,,CommercialProperty,,,,,,1
R 38 000 000,,,,CommercialProperty,,,,,,0
R 6 600 000,,,,CommercialProperty,,,,,,0
R 1 230 000,3,1,3,House,978m²,,,,,1
R 1 150 000,3,2,,House,,,,R750,,0
R 750 000,3,1,,Townhouse,80m²,,R1182,R242,0.0,0
R 2 595 000,4,3.5,9,House,497m²,,,,,1
R 392 000,,1,,Apartment/Flat,,44m²,R1198,R346,,0
R 1 400 000,,,,CommercialProperty,495m²,,,R1700,,0
R 2 150 000,2,2,2,Apartment/Flat,,122m²,,,0.0,1
R 4 550 000,4,2.5,10,House,1487m²,,,,,0
R 749 000,2,2,1,Apartment/Flat,,89m²,R189,,,0
R 1 050 000,3,2,,House,480m²,,,,,1
R 2 499 999,2,2.5,2,Apartment/Flat,,,R4104,R1565,0.0,1
R 1 240 000,2,2,2,Apartment/Flat,,,,R770,0.0,0
R 4 999 000,,,,CommercialProperty,2480m²,545m²,,,,0
R 2 600 000,6,4,6,House,495m²,,,,,0
R 3 475 000,4,2,,House,743m²,,,,,0
R 749 000,3,1.5,2,Apartment/Flat,,104m²,R2377,R335,,0
R 1 595 000,3,2,4,House,1144m²,,,,1.0,1
R 2 599 000,5,2.5,6,House,496m²,,,,,0
R 1 699 000,3,2,4,Apartment/Flat,,,,,0.0,0
R 280 000,1,1,1,Apartment/Flat,,45m²,,,0.0,0
R 670 000,2,1,,Apartment/Flat,,,R1350,R350,,1
R 1 299 000,4,1,17,House,990m²,,,R650,1.0,0
R 1 500 000,,,,House,,,,,,0
R 770 000,2,2,1,Apartment/Flat,1391m²,,,,0.0,0
R 2 500 000,3,2,2,House,,,,R500,,1
R 1 390 000,3,2,1,House,,,,,,0
R 7 200 000,,,,CommercialProperty,,,,,,0
R 1 490 000,4,2,2,House,559m²,,,,,0
R 580 000,2,1,,House,,,,,0.0,0
R 13 800 000,3,4,1,Apartment/Flat,514m²,,,,,1
R 13 200 000,49,34,31,Apartment/Flat,495m²,,,,,0
R 9 950 000,,,,CommercialProperty,333m²,,,,,0
R 950 000,4,3,4,House,,,,,,0
R 670 000,2,1,,Apartment/Flat,1451m²,38m²,R400,,,0
R 2 200 000,,,,VacantLand/Plot,,,,,,0
R 430 000,1,1,,Apartment/Flat,,,R1000,R350,0.0,0
R 2 500 000,,,,House,,,,,,0
R 2 650 000,3,2,4,House,496m²,,,,,1
