price,bedrooms,bathrooms,Type of Property,Floor Size,Levies,Rates and Taxes,Pets Allowed,Pool,parking space,Erf Size
R 1 150 000,2,1,Apartment/Flat,122m²,R1925,,,1,2,122m²
R 1 380 000,2,1,Apartment/Flat,96m²,R1300,,1.0,0,1,
R 999 950 - R 2 550 000,,,,,,,,0,,
R 3 150 000,3,2,House,,,,1.0,1,2,495m²
R 495 000,2,1,Apartment/Flat,105m²,,R230,0.0,0,1,
R 999 000,3,2.5,House,100m²,R270,R510,,0,1,161m²
R 5 370 000,3,2,House,,,R3200,1.0,0,5,2200m²
R 1 695 000,3,2,Apartment/Flat,313m²,,,,0,,313m²
R 1 625 000,,,CommercialProperty,645m²,,R4388,,0,,480m²
R 3 500 000,,,VacantLand/Plot,,,,,0,,
R 1 199 000,2,2,Apartment/Flat,101m²,R1326,R343,,0,,
R 2 850 000,4,2.5,House,,,R3488,1.0,1,2,1686m²
R 230 000,1,1,Apartment/Flat,49m²,R1154,,0.0,0,1,
R 1 850 000,4,3,House,,,,,1,4,1161m²
R 160 000,1,1,Apartment/Flat,,R735,,,0,,
R 850 000,3,2,House,,,R400,,0,5,
R 9 000 000,,,IndustrialProperty,11883m²,,R21798,,0,,11883m²
R 1 680 000,4,4,House,,,,0.0,0,4,
R 995 000,,,Farm,,,,,0,,
R 850 000,1,1,Apartment/Flat,59m²,R1600,R320,0.0,0,1,
R 3 100 000,2,2,Apartment/Flat,82m²,R2742,R1555,,0,,82m²
R 15 750 000,3,3.5,House,492m²,R11000,R11000,,1,2,948m²
R 1 199 000 - R 1 299 000,,,,,,,,0,,
R 520 000,2,1,Apartment/Flat,74m²,R1997,,,0,,1000m²
R 9 000 000,,,IndustrialProperty,,,,,0,,
R 1 399 000,3,2,Apartment/Flat,,R2287,R859,0.0,1,2,
R 3 950 000,3,3.5,Townhouse,,R3435,R2316,,0,4,
R 1 896 000,3,2.5,Apartment/Flat,174m²,R4018,R1366,,1,1,174m²
R 490 000,2,1,Townhouse,74m²,,,,0,,
R 880 000,1,1,Apartment/Flat,67m²,R1695,R645,0.0,0,1,67m²
R 3 950 000,3,2,House,1m²,,R2220,1.0,1,2,495m²
R 780 000,2,1,Apartment/Flat,,R2500,R250,,0,2,72m²
R 6 795 000,6,5.5,House,850m²,,R2900,1.0,0,6,1200m²
R 5 800 000,,,House,,,,1.0,0,,41875m²
R 750 000,2,1,Apartment/Flat,66m²,R1600,R350,0.0,1,1,8605m²
R 875 000,2,2,Townhouse,85m²,R1321,R398,1.0,0,,2978m²
R 539 500,,,VacantLand/Plot,,,R317,,0,,1224m²
R 2 650 000,,,VacantLand/Plot,,R2500,,,0,,899m²
R 2 300 000,3,3,House,694m²,,,,0,2,694m²
R 750 000,1,1,Apartment/Flat,70m²,,,,0,1,54122m²
R 860 000,2,1,Townhouse,80m²,R980,,1.0,1,2,
R 1 600 000,7,5,House,,,,,0,5,1300m²
R 3 190 000,6,3,House,650m²,R1000,R1800,,0,2,918m²
R 1 300 000,5,4,House,496m²,,,,0,,496m²
R 3 750 000,5,5,House,,,,0.0,0,7,1059m²
R 315 000,1,1,Apartment/Flat,24m²,R650,,,0,,24m²
R 940 000,3,2,Townhouse,88m²,R1790,R606,0.0,1,1,32559m²
R 950 000,3,2,House,90m²,,,1.0,0,2,
R 1 999 999,3,2.5,House,,,,1.0,1,2,650m²
R 3 300 000,4,3.5,House,,,R1640,1.0,1,4,1635m²
R 1 000 000,3,2,Apartment/Flat,137m²,R3590,R680,,1,2,
R 1 750 000,4,2,House,,,,,0,2,1071m²
R 8 000 000,3,3,House,,,R3313,1.0,1,6,2190m²
R 1 600 000,5,3,House,,,,,0,2,
R 1 100 000,3,2,Apartment/Flat,,R1600,R350,,0,2,
R 2 490 000,3,2,House,,,,,0,2,496m²
R 1 600 000,3,2,Townhouse,109m²,,R900,1.0,1,2,
R 2 690 000,1,1,Apartment/Flat,50m²,R2000,,,0,1,50.6m²
R 700 000,2,1,Townhouse,73m²,R1300,R600,0.0,0,,12447m²
R 28 000 000,,,CommercialProperty,3400m²,,R39958,,0,,1000m²
R 4 300 000 - R 4 600 000,,,,,,,,0,,
R 1 395 000,7,4.5,House,,,R650,,0,3,
R 650 000,1,1,Apartment/Flat,,R695,R300,,0,2,45m²
R 900 000,3,1,House,,,R350,,0,,
R 1 749 000,4,3,House,,,R351,1.0,1,2,374m²
R 2 250 000,11,6,House,,,,,0,,495m²
R 600 000,1,1,Apartment/Flat,38m²,R1600,R200,0.0,1,,995m²
R 377 000,0.5,1,Apartment/Flat,26m²,R900,R300,0.0,0,,499m²
R 875 000,2,1.5,Apartment/Flat,103m²,,,0.0,1,2,
