price,bedrooms,bathrooms,parking space,Type of Property,Floor Size,Levies,Pets Allowed,Pool,Erf Size,Rates and Taxes
R 4 650 000,,,,IndustrialProperty,,,,0,2000m²,
R 849 000,3,2,3,House,,,,0,900m²,
R 11 900 000,4,4,2,House,,,1.0,1,3965m²,
R 3 999 000 - R 4 249 000,,,,,,,,0,,
R 1 350 000,2,2,2,Apartment/Flat,,,,1,,
R 1 900 000,4,3,7,House,,,,0,990m²,
R 4 000 000,,,,CommercialProperty,,,,0,1308m²,
R 395 000,1,1,,Apartment/Flat,,R1595,,0,,R350
R 1 250 000,1,1,1,Apartment/Flat,99m²,R2000,,0,,R800
R 8 000 000,,,,CommercialProperty,,,,0,991m²,R4230
R 2 900 000,2,2,2,Apartment/Flat,138m²,,0.0,0,,
