price,bedrooms,bathrooms,Type of Property,Floor Size,Pets Allowed,Pool,parking space,Erf Size,Rates and Taxes,Levies
R 2 195 000,2,2,Apartment/Flat,80m²,0.0,0,2,,,
R 3 475 000,5,3.5,House,,,1,4,1028m²,R1200,
R 5 700 000,4,5,House,,,1,4,518m²,,
R 270 000,2,1,House,,,0,,300m²,,
R 8 000 000,,,CommercialProperty,,,0,,484m²,R3150,R1500
R 4 850 000,3,3,House,,,1,2,526m²,R1600,R600
R 999 950 - R 2 550 000,,,,,,0,,,,
R 465 000,1,1,Apartment/Flat,25m²,,1,,,,
R 2 190 000,9,4,House,,,0,1,669m²,,
R 392 200,,1,Apartment/Flat,44m²,,0,,,R346,R1198
R 680 000,2,1,Townhouse,54m²,,0,1,,R369,R1500
R 550 000,0.5,1,Apartment/Flat,37m²,,0,1,1799m²,,
R 7 100 000,4,4,House,421m²,1.0,1,9,950m²,R3500,
R 6 250 000,2,2,Apartment/Flat,129m²,0.0,1,2,,R1600,R4200
R 180 000,,1,Apartment/Flat,40m²,,0,,4477m²,R450,R1093
R 495 000,,1,Apartment/Flat,63m²,0.0,0,1,,,
R 1 300 000,3,2,Townhouse,154m²,1.0,1,2,,,
R 6 000 000,,,IndustrialProperty,,,0,,7000m²,,
R 849 000,1,1,Apartment/Flat,56m²,0.0,1,1,,,
R 1 350 000,3,2,House,,,0,3,495m²,,
R 5 529 000,,,CommercialProperty,,,0,,291m²,,
R 28 000 000,50,50,House,1286m²,,0,,1286m²,,
R 1 550 000,2,2,Townhouse,89m²,,0,2,,,
R 2 499 990,,,CommercialProperty,,,0,,1350m²,,
R 999 000,3,1,House,,1.0,0,1,495m²,,
R 295 000,1,1,Apartment/Flat,83m²,,0,1,1487m²,,
R 2 500 000,2,2.5,Apartment/Flat,181m²,0.0,1,2,,,
R 629 000,,,,,,0,,,,
R 2 450 000,3,2,Apartment/Flat,129m²,,1,2,,R1400,R4000
R 3 295 000,7,5,House,,1.0,0,2,1429m²,R3227,
R 4 200 000,2,2,Apartment/Flat,,,0,1,,R1400,R4475
R 7 000 000,7,5,House,15000m²,1.0,1,8,20000m²,R3000,R1
R 875 000,3,2,House,,1.0,0,1,600m²,,
R 1 350 000,3,1,House,,1.0,0,2,495m²,,
R 650 000,1,1,Apartment/Flat,994m²,,0,1,77m²,,
R 430 000,1,1,Apartment/Flat,,,0,1,,R1280,R910
R 2 195 000,4,2,House,,1.0,1,4,1192m²,R1992,
R 438 000,1,1,Apartment/Flat,27m²,,0,,,,
R 395 000,,1,Townhouse,31m²,,0,1,23554m²,R200,R647
R 1 290 000,6,2,House,,,1,4,495m²,,
R 1 620 000,3,2,House,,,0,,746m²,,
R 4 200 000,3,3.5,House,,,1,2,495m²,R1813,R800
R 290 000,,,House,,,0,,,,
R 900 000,5,1,House,,,0,5,,,
R 1 410 000,5,2,House,,1.0,0,10,773m²,R1120,
R 325 000,1,1,Apartment/Flat,27m²,,0,,,R210,R840
R 529 000,1,1,Apartment/Flat,41m²,0.0,0,1,,R313,R812
R 2 299 000 - R 2 552 550,,,,,,0,,,,
R 470 000,2,1,House,,,0,,359m²,,
R 2 200 000,4,2.5,Townhouse,282m²,,0,2,2022m²,R1200,R1800
R 2 800 000,3,3,House,,,0,6,496m²,,
R 1 490 000,7,3,House,,1.0,1,8,495m²,R1091,
R 2 300 000,7,6,House,,0.0,0,6,400m²,,
R 4 499 000,,,Farm,,,0,,,,
R 412 000,3,2,Apartment/Flat,144m²,0.0,0,,1500m²,R500,R3353
R 1 240 000,3,2,House,,,0,2,,,
R 2 499 000,4,2,House,,,0,6,,,
R 700 000,,,VacantLand/Plot,,,0,,,,
R 1 450 000,6,6,House,,0.0,0,6,421m²,,
R 550 000,3,1,Townhouse,89m²,1.0,0,2,,R450,
R 2 450 000,4,2,House,,,1,8,990m²,R1200,
R 3 500 000,3,2,Apartment/Flat,170m²,0.0,0,2,,,
R 3 300 000,2,2,Apartment/Flat,94m²,,0,2,,R1810,R4646
R 8 900 000,4,5,Townhouse,400m²,,1,4,,R4212,R4437
R 8 000 000,2,2,Apartment/Flat,,,0,1,310m²,R4583,R4583
R 1 100 000,3,1.5,House,,,0,,,,
R 1 999 000,4,3,House,,,1,2,976m²,,
R 465 000,1,1,Apartment/Flat,30m²,,1,,,,R663
R 7 500 000,3,3.5,Apartment/Flat,335m²,0.0,0,2,,,
R 2 500 000,,,CommercialProperty,411m²,,0,,,,
R 660 000,2,1,Apartment/Flat,,,0,,,,
R 1 200 000,3,1,House,,,0,2,,,
R 1 850 000,1,1,Apartment/Flat,70m²,0.0,0,1,,,R2199
R 1 575 000,3,2,House,,,1,2,1138m²,,
R 3 300 000,,,VacantLand/Plot,,,0,,899m²,,R3000
R 3 950 000,2,2.5,Apartment/Flat,158m²,0.0,1,2,,,
R 3 200 000,5,3,House,,,1,2,1750m²,R2312,
R 900 000,3,2,Apartment/Flat,,,1,1,,,
R 380 000,1,1,Apartment/Flat,,,0,,,,
R 1 725 000,4,3,House,,1.0,0,3,,R1700,
R 2 799 000,,,VacantLand/Plot,,,0,,,,
R 950 000,3,1,House,,,0,1,,,
R 1 149 000,1,1,Apartment/Flat,,,0,1,,,
R 1 300 000,3,2,Townhouse,98m²,0.0,0,,,R450,R1100
R 540 000,1,1,Apartment/Flat,,,0,,,,R1852
R 1 500 000,6,6,House,,,0,,495m²,,
R 850 000,3,2,House,,,0,5,440m²,,
R 400 000,1,1,Apartment/Flat,33m²,,0,,2478m²,,
R 3 999 999,4,3,House,1069m²,1.0,1,2,,R3620,
R 1 650 000,4,2,House,,1.0,1,2,999m²,R600,
R 3 200 000,,,VacantLand/Plot,,,0,,,,
R 2 795 000,3,2,Apartment/Flat,193m²,,1,1,,R900,R4500
R 5 295 000,4,4.5,Townhouse,241m²,0.0,0,4,,R1800,R3600
R 1 650 000,2,2,Apartment/Flat,86m²,,1,1,,R1028,R2448
R 980 000,3,2,House,,,0,1,,,
R 9 400 000,5,4,House,800m²,,1,4,1100m²,,
R 770 000,3,1,Townhouse,,0.0,1,2,,R500,R1350
R 4 990 000,3,3.5,Apartment/Flat,178m²,,0,2,,,
R 600 000,5,2,Apartment/Flat,,,0,,,R170,R3700
R 1 095 000,2,2,House,,,0,1,248m²,R357,
R 6 000 000,,,IndustrialProperty,4500m²,,0,,1621m²,,
R 1 150 000,3,1,House,,,0,2,750m²,,
R 4 000 000,7,9,House,,1.0,1,,1115m²,R2500,
R 2 550 000,2,1,Apartment/Flat,168m²,1.0,0,2,,,
R 9 100 000,3,3,House,,1.0,1,14,2234m²,R5100,
R 900 000,3,2,House,,1.0,0,5,496m²,R573,
R 10 500 000,3,3,House,,,0,3,2725m²,,
R 8 499 900,,,,,,0,,,,
R 2 680 000,6,4,House,,,0,,990m²,,
R 14 700 000,3,3,Apartment/Flat,318m²,0.0,0,2,,R6000,R10000
R 850 000,3,1,House,,1.0,0,4,446m²,R496,
R 950 000,3,2,House,,,0,2,,,
R 700 000,2,1,Apartment/Flat,15397m²,,0,1,49m²,,
R 6 800 000,4,4.5,House,405m²,0.0,0,4,445m²,,
R 650 000,2,1,Townhouse,,,0,,,,
R 245 000,1,1,Townhouse,,,0,,495m²,,
R 1 600 000,2,2,Apartment/Flat,174m²,,1,2,,R1359,R4719
R 680 000,2,1,House,,,0,1,,,
R 435 000,2,1,House,45m²,1.0,0,,403m²,,
R 2 300 000,2,1,Apartment/Flat,59m²,,0,,59m²,,
R 2 650 000,7,2,House,,0.0,0,,,,
R 9 499 000,5,4.5,Townhouse,600m²,0.0,1,3,993m²,R5800,
R 6 500 000,3,3,Townhouse,,1.0,0,3,,,R5890
R 599 999,,,VacantLand/Plot,,,0,,495m²,,
R 3 950 000,2,2,House,,1.0,1,6,915m²,R2240,
R 1 500 000,4,2,House,330m²,0.0,0,4,1077m²,R108700,
R 20 000 000,,,CommercialProperty,,0.0,0,,1890m²,R20000,
R 519 000,1,1,Apartment/Flat,23m²,0.0,1,,,R220,R585
R 620 000,2,1,Townhouse,47m²,,0,1,,,
R 3 990 000,4,3,House,450m²,,1,2,1869m²,R3100,
R 445 000,0.5,1,Apartment/Flat,28m²,,0,,5158m²,,
R 1 800 000,,,CommercialProperty,,,0,,515m²,,
R 5 000 000,,,VacantLand/Plot,,,0,,,,
R 1 500 000,3,1.5,Apartment/Flat,116m²,,0,2,,,
R 785 000,3,2,Apartment/Flat,,,0,,80m²,R400,R1437
R 599 000,3,2,House,,,0,4,325m²,,
R 1 999 000,1,1,Apartment/Flat,48m²,1.0,1,1,,,R2000
