price,bedrooms,bathrooms,parking space,Type of Property,Floor Size,Levies,Rates and Taxes,Pets Allowed,Pool,Erf Size
R 390 000,2,1.5,1,Apartment/Flat,111m²,R1500,R329,,0,746m²
R 11 950 000,5,5.5,5,House,,,,1.0,1,1435m²
R 12 999 000,3,3.5,2,Apartment/Flat,300m²,R13000,R7000,,1,
R 850 000,5,3,2,House,325m²,,R2100,1.0,0,495m²
R 1 195 000,2,2,,Townhouse,70m²,R1536,,0.0,1,
R 4 782 000,,,,,,,,,0,
R 1 250 000,3,2,2,House,165m²,R2540,R700,1.0,1,
R 765 000,2,1,1,Apartment/Flat,,R1335,R250,1.0,0,56m²
R 2 950 000,,,,House,,,,,0,
R 900 000,3,2,2,Townhouse,138m²,R2906,R709,,0,
R 1 090 000,3,2.5,,Townhouse,135m²,R2200,R780,,0,
R 650 000,5,3,,House,,,,,0,495m²
R 530 000,2,1.5,2,Apartment/Flat,86m²,,,1.0,1,86m²
R 980 000,2,1,1,Townhouse,70m²,R1655,R753,,1,13916m²
R 8 200 000,4,3.5,2,House,704m²,,R3500,1.0,1,2082m²
R 695 000,1,1,2,Apartment/Flat,45m²,,R471,0.0,1,45m²
R 12 000 000,4,4,,House,600m²,R3000,R6000,,0,977m²
R 500 000,1,1,2,Apartment/Flat,78m²,R3051,R2049,,0,
R 999 000,3,2,2,House,,,,,0,
R 1 100 000,6,2.5,,House,,,,0.0,0,
R 1 150 000,3,2,1,Townhouse,,R2485,R643,0.0,0,
R 610 000,2,1,,Apartment/Flat,59m²,R675,,0.0,1,
R 2 299 000 - R 2 552 550,,,,,,,,,0,
R 3 350 000,3,2,2,House,385m²,,R2602,1.0,1,1003m²
R 1 399 000,3,2,2,House,,,,,1,1097m²
R 679 000,3,1.5,1,House,60m²,,R246,0.0,0,511m²
R 18 499 000,4,4,4,Apartment/Flat,412m²,,,,1,
R 21 000 000,,,,CommercialProperty,1413m²,R763,R17402,0.0,0,2826m²
R 1 750 000,9,2,3,House,,,,,0,
R 640 000,1,1,1,Apartment/Flat,50m²,R1700,,0.0,1,
R 180 000,,1,,Apartment/Flat,30m²,,,0.0,0,1487m²
R 1 400 000,4,3,2,House,,,,0.0,0,
R 20 000 000,,,,IndustrialProperty,3650m²,,,,0,5868m²
R 479 999,1,1,1,Apartment/Flat,44m²,R1100,R600,,1,
R 390 000,2,1,1,Apartment/Flat,87m²,R1183,,0.0,0,
R 4 950 000,3,3.5,4,House,560m²,,R3385,,1,1027m²
R 899 000,3,2,3,House,,,R302,1.0,0,613m²
R 1 149 000,2,2,2,Apartment/Flat,105m²,,,0.0,0,
R 2 450 000,4,2,6,House,,,R2194,,0,1284m²
R 2 650 000,3,2.5,1,Townhouse,136m²,R4000,R1841,1.0,1,
R 570 000,,,,,,,,,0,
R 330 000,2.5,1,1,Apartment/Flat,90m²,R1478,,0.0,0,
R 4 090 000,4,3.5,2,House,360m²,R1682,R2000,,1,612m²
{{price}},,,,,,,,,0,
R 210 000,,,,House,,,,,0,290m²
R 6 500 000,3,3,2,House,,,,1.0,1,2265m²
R 749 000,6,5,6,House,,,,1.0,0,529m²
R 525 000,1,1,,Apartment/Flat,32m²,R1600,R230,,1,1000m²
R 1 395 000,2,1,,Apartment/Flat,100m²,R1221,,1.0,0,10000m²
R 649 000,3,1,2,Apartment/Flat,80m²,R533,R480,0.0,0,84m²
R 4 990 000,2,2.5,1,Apartment/Flat,150m²,,,,1,
R 1 280 000,3,2,5,House,,,R612,,0,495m²
R 750 000,3,2,2,House,,,,,0,1045m²
R 1 700 000,9,,,House,,,,,0,
R 1 700 000,9,,,House,,,,,0,
R 2 295 000,4,3,4,House,350m²,,R1162,,0,835m²
R 350 000,2,1,1,Apartment/Flat,118m²,R1500,R300,,0,992m²
R 1 100 000,,,,VacantLand/Plot,347m²,,,,0,347m²
R 990 000,2,1,1,House,,,R792,,0,495m²
R 1 800 000 - R 5 400 000,,,,,,,,,0,
R 549 000,2,1,2,Apartment/Flat,66m²,,R409,0.0,1,66m²
R 210 000,2,1,1,House,,,R96,1.0,0,290m²
R 899 000,2,2.5,1,Townhouse,106m²,R1488,R375,1.0,0,2394m²
R 1 550 000,2,1.5,1,Apartment/Flat,98m²,,R959,0.0,1,
R 1 150 000,3,2.5,1,Townhouse,152m²,R2157,R42470,1.0,1,2394m²
R 510 000,2,1,1,Apartment/Flat,87m²,R850,R75,,1,4333m²
R 950 000,2,2,,Townhouse,84m²,R2091,R727,,1,
R 600 000,1,1,,House,55m²,,,,0,
R 1 495 000,3,1.5,1,House,,,R1150,,0,872m²
R 2 499 000,,,,VacantLand/Plot,,,,,0,
R 2 350 000,18,11,8,House,,,,,0,1923m²
R 1 580 000,3,2,2,House,,,R790,1.0,1,
R 2 775 000,3,3,,House,,,,1.0,1,
R 370 000,1,,1,Apartment/Flat,,,,,0,
R 4 890 000,4,5,4,House,620m²,,R1600,,1,1161m²
R 25 000 000,6.5,6,,House,,,,,1,47500m²
R 1 670 000,4,1,3,House,,,,,0,
R 800 000,2,2,2,Townhouse,,,,,0,
R 6 299 000,5,5,6,House,425m²,,R2400,1.0,1,789m²
R 4 990 000,,,,,,,,,0,
R 550 000,3,1,,House,,,R500,,0,
R 650 000,3,1,1,Townhouse,57m²,R895,R500,,0,
R 880 000,2,1,2,Apartment/Flat,98m²,R867,R430,1.0,0,97m²
R 245 000,1,1,,Apartment/Flat,95m²,R1683,,0.0,0,
R 1 250 000,3,2,2,Townhouse,,R1400,,0.0,0,98m²
R 630 000,2,1,1,Apartment/Flat,59m²,R1759,R367,0.0,0,1488m²
R 799 000,6,4.5,2,House,,,R424,,0,479m²
R 8 900 000,3,3.5,1,Apartment/Flat,281m²,,,,1,
R 350 000,,,,CommercialProperty,,,,,0,248m²
R 1 550 000,2,2,1,Apartment/Flat,94m²,R3200,R1044,1.0,0,
R 3 395 000,2,3,2,Apartment/Flat,146m²,R4750,R2000,0.0,0,1861m²
R 950 000,,,,CommercialProperty,,,R430,,0,495m²
R 3 350 000,3,2.5,6,House,,,,1.0,1,1255m²
R 2 499 000,4,3,2,House,300m²,,R2016,1.0,1,300m²
R 580 000,2,1.5,1,Townhouse,123m²,,R282,0.0,0,1667m²
R 950 000,2,1,,Apartment/Flat,80m²,,,0.0,0,
R 425 000,0.5,1,,Apartment/Flat,36m²,R967,,,0,
R 899 000,2,2,,House,,,,,0,
R 1 050 000,3,1,4,House,,,R1800,,0,520m²
