price,Type of Property,Erf Size,Levies,Pool,bedrooms,bathrooms,parking space,Floor Size,Rates and Taxes,Pets Allowed
R 13 480 000,House,3383m²,,1,5,4.5,3,857m²,R6877,1.0
R 835 000,Apartment/Flat,,R3723,0,2,2,1,106m²,R1208,0.0
R 550 000,Apartment/Flat,1616m²,R1300,0,0.5,1,,46m²,R300,0.0
R 380 000,Apartment/Flat,,R914,0,2,2,1,103m²,,0.0
R 3 518 900,Apartment/Flat,92m²,R2200,0,2,2,,92m²,,
R 1 900 000,CommercialProperty,,,0,,,,900m²,R3862,
R 2 790 000,House,1370m²,,0,3,2,2,,R858,
R 9 800 000,Apartment/Flat,,R7000,0,3,3,2,178m²,R3500,
R 540 000,Apartment/Flat,,R1400,0,1,1,,38m²,R200,
R 195 000,Apartment/Flat,,R1129,0,0.5,1,1,38m²,,0.0
R 2 300 000,House,694m²,,0,3,3,2,694m²,,
R 675 000,Apartment/Flat,,,0,2,1,1,,R250,
R 32 500 000,CommercialProperty,,,0,,,,,,
R 2 650 000,Apartment/Flat,154m²,R2500,0,4,2,1,154m²,R1500,0.0
R 999 000,House,161m²,R270,0,3,2.5,1,100m²,R510,
R 1 150 000,Apartment/Flat,122m²,R1925,1,2,1,2,122m²,,
R 3 150 000,House,495m²,,1,3,2,2,,,1.0
R 495 000,Apartment/Flat,,,0,2,1,1,105m²,R230,0.0
R 5 370 000,House,2200m²,,0,3,2,5,,R3200,1.0
R 599 000 - R 750 000,,,,0,,,,,,
R 1 199 000,Apartment/Flat,,R1326,0,2,2,,101m²,R343,
R 230 000,Apartment/Flat,,R1154,0,1,1,1,49m²,,0.0
R 1 850 000,House,1161m²,,1,4,3,4,,,
R 160 000,Apartment/Flat,,R735,0,1,1,,,,
R 850 000,House,,,0,3,2,5,,R400,
R 9 000 000,IndustrialProperty,11883m²,,0,,,,11883m²,R21798,
R 1 680 000,House,,,0,4,4,4,,,0.0
R 3 100 000,Apartment/Flat,82m²,R2742,0,2,2,,82m²,R1555,
R 995 000,Farm,,,0,,,,,,
R 850 000,Apartment/Flat,,R1600,0,1,1,1,59m²,R320,0.0
R 15 750 000,House,948m²,R11000,1,3,3.5,2,492m²,R11000,
R 520 000,Apartment/Flat,1000m²,R1997,0,2,1,,74m²,,
R 9 000 000,IndustrialProperty,,,0,,,,,,
R 3 950 000,Townhouse,,R3435,0,3,3.5,4,,R2316,
R 1 399 000,Apartment/Flat,,R2287,1,3,2,2,,R859,0.0
R 1 896 000,Apartment/Flat,174m²,R4018,1,3,2.5,1,174m²,R1366,
R 6 795 000,House,1200m²,,0,6,5.5,6,850m²,R2900,1.0
R 490 000,Townhouse,,,0,2,1,,74m²,,
R 880 000,Apartment/Flat,67m²,R1695,0,1,1,1,67m²,R645,0.0
R 3 950 000,House,495m²,,1,3,2,2,1m²,R2220,1.0
R 1 250 000,House,,,0,6,2,1,,,
R 780 000,Apartment/Flat,72m²,R2500,0,2,1,2,,R250,
R 875 000,Apartment/Flat,,,1,2,1.5,2,103m²,,0.0
R 5 800 000,House,41875m²,,0,,,,,,1.0
R 750 000,Apartment/Flat,8605m²,R1600,1,2,1,1,66m²,R350,0.0
R 3 300 000,House,1635m²,,1,4,3.5,4,,R1640,1.0
R 875 000,Townhouse,2978m²,R1321,0,2,2,,85m²,R398,1.0
R 2 650 000,VacantLand/Plot,899m²,R2500,0,,,,,,
R 700 000,Townhouse,12447m²,R1300,0,2,1,,73m²,R600,0.0
R 750 000,Apartment/Flat,54122m²,,0,1,1,1,70m²,,
R 1 100 000,Apartment/Flat,,R1600,0,3,2,2,,R350,
R 860 000,Townhouse,,R980,1,2,1,2,80m²,,1.0
R 3 190 000,House,918m²,R1000,0,6,3,2,650m²,R1800,
R 1 300 000,House,496m²,,0,5,4,,496m²,,
R 6 500 000 - R 7 990 000,,,,0,,,,,,
R 1 899 000,Apartment/Flat,,R4216,0,2,2,1,151m²,R502,
R 940 000,Townhouse,32559m²,R1790,1,3,2,1,88m²,R606,0.0
R 950 000,House,,,0,3,2,2,90m²,,1.0
R 1 999 999,House,650m²,,1,3,2.5,2,,,1.0
R 1 000 000,Apartment/Flat,,R3590,1,3,2,2,137m²,R680,
R 1 750 000,House,1071m²,,0,4,2,2,,,
R 8 000 000,House,2190m²,,1,3,3,6,,R3313,1.0
R 2 490 000,House,496m²,,0,3,2,2,,,
R 1 600 000,Townhouse,,,1,3,2,2,109m²,R900,1.0
R 1 050 000,Townhouse,,,1,3,2,,,,
R 2 690 000,Apartment/Flat,50.6m²,R2000,0,1,1,1,50m²,,
R 1 350 000,House,,,0,4,3,3,,,
R 28 000 000,CommercialProperty,1000m²,,0,,,,3400m²,R39958,
R 1 395 000,House,,,0,7,4.5,3,,R650,
R 650 000,Apartment/Flat,45m²,R695,0,1,1,2,,R300,
R 900 000,House,,,0,3,1,,,R350,
R 1 749 000,House,374m²,,1,4,3,2,,R351,1.0
R 350 000,Apartment/Flat,,R713,0,1,1,,,,0.0
R 2 250 000,House,495m²,,0,11,6,,,,
R 600 000,Apartment/Flat,995m²,R1600,1,1,1,,38m²,R200,0.0
R 4 782 000,,,,0,,,,,,
R 377 000,Apartment/Flat,499m²,R900,0,0.5,1,,26m²,R300,0.0
POA,IndustrialProperty,8260m²,,0,,,,,,
POA,IndustrialProperty,2919m²,,0,,,,,,
R 550 000,Townhouse,,R1200,1,3,1,,57m²,,1.0
R 2 850 000,CommercialProperty,81.5m²,,0,,,,81m²,,
R 2 300 000,Apartment/Flat,,R2919,0,2,2,2,118m²,R1393,
R 1 590 000,Apartment/Flat,12928m²,R1910,0,2,2,2,109m²,,
R 12 800 000,IndustrialProperty,6393m²,,0,,,,6393m²,,
