price,bedrooms,bathrooms,parking space,Type of Property,Rates and Taxes,Pool,Erf Size,Pets Allowed,Floor Size,Levies
R 799 000,2,1,1,Townhouse,R473,1,6605m²,0.0,102m²,R2764
R 5 000 000,,,,IndustrialProperty,,0,11237m²,,3856m²,
R 3 249 000,,,,Farm,,0,,,,
R 7 250 000,4,4.5,5,House,R3700,0,417m²,1.0,,R3000
R 3 355 000,2,2,,Apartment/Flat,,0,71.3m²,,71m²,R2700
R 2 050 000,2,2,,Townhouse,,0,27432m²,,161m²,R3200
R 750 000,2,2,1,Apartment/Flat,,1,,,72m²,
R 690 000,2,1,1,Apartment/Flat,R335,0,2706m²,,69m²,R1460
R 550 000,2,1,3,Apartment/Flat,,0,,,57m²,
R 890 000,3,2,1,Apartment/Flat,R400,0,,0.0,,R1340
R 2 600 000,3,2.5,2,House,R1563,0,,,,R4747
R 1 450 000,,,,House,,0,,,,
R 4 770 000,,,,,,0,,,,
R 750 000,2,1,5,House,,0,245m²,,,
R 500 000,2,1,3,Apartment/Flat,R700,0,77m²,,,R500
R 1 575 000,3,2,5,House,,1,,,,
R 2 300 000,1,1,1,Apartment/Flat,,0,2128m²,,44m²,
R 600 000,2,1,,Apartment/Flat,,0,,,87m²,R1125
R 499 000,2.5,1,1,Townhouse,R300,1,8167m²,,118m²,R1400
R 585 000,2,1,2,Apartment/Flat,R350,1,12456m²,,64m²,
R 2 100 000,4,3,2,House,,1,1091m²,,,
R 2 275 000,8,4,1,House,,0,495m²,,,
R 2 275 000,7,2,1,House,,0,495m²,,,
R 1 499 000,5,2,3,House,R484,0,496m²,1.0,300m²,
R 1 850 000,,,,VacantLand/Plot,,0,26185m²,,,
R 799 000,2,2,2,Townhouse,,1,,1.0,96m²,R1350
R 5 600 000,5,4,3,House,R3868,1,2357m²,,,
R 850 000,2,2,,Apartment/Flat,,0,,,,
R 2 300 000,2,2,2,Apartment/Flat,R1425,1,6849m²,0.0,112m²,R2700
R 2 700 000,2,2,2,Apartment/Flat,R1457,1,,,154m²,R4923
R 2 199 000,3,2,1,Apartment/Flat,R1345,0,,,178m²,R4800
R 2 650 000,3,2,6,House,R1760,1,1388m²,,,
R 1 800 000 - R 5 400 000,,,,,,0,,,,
R 3 799 000,4,2,2,House,,0,,1.0,,
R 1 895 000,4,2,4,House,R1077,0,1126m²,1.0,,
R 2 450 000,3,1.5,,House,R1623,1,1071m²,1.0,,
R 2 000 000,7,2,5,House,,0,,1.0,,
R 900 000,1,1,1,Apartment/Flat,R363,1,,0.0,51m²,R1662
R 849 000,2,1,1,Townhouse,R504,0,8965m²,1.0,77m²,R1617
R 12 500 000,,,,IndustrialProperty,,0,5500m²,,5500m²,
R 1 245 000,2,2,1,House,,0,666m²,,,
R 159 000,1,1,,Apartment/Flat,,0,4452m²,0.0,48m²,
R 21 500 000,3,3.5,3,Apartment/Flat,R6000,1,,,425m²,R7500
R 650 000,2,1,,Apartment/Flat,,0,,,69m²,R1053
R 12 500 000,,,,CommercialProperty,,0,,,,
R 920 000,,,,House,,0,,,,
R 7 950 000,4,4,7,House,R3400,1,1276m²,1.0,1m²,
R 1 425 000,2,2,2,Apartment/Flat,,0,,0.0,84m²,
R 850 000,3,2,2,House,R388,0,438m²,,201m²,
R 2 900 000,,,,IndustrialProperty,,0,1200m²,,700m²,
R 4 300 000 - R 4 600 000,,,,,,0,,,,
R 2 500 000,4,3,4,House,R1600,1,1191m²,1.0,1191m²,
R 1 325 000,4,2.5,2,Townhouse,R450,1,,1.0,152m²,R2500
R 3 495 000,3,2.5,6,House,R4340,1,1300m²,1.0,350m²,
R 2 050 000,,,,VacantLand/Plot,R1418,0,3866m²,,,
R 4 500 000,,,,CommercialProperty,,0,4520m²,,4520m²,
R 1 695 000,3,2.5,6,House,R1500,1,745m²,1.0,300m²,
R 2 100 000,1,1,,Apartment/Flat,R800,0,47m²,,47m²,R2200
R 1 125 000,2,2,2,Townhouse,R732,0,117m²,0.0,117m²,
R 6 750 000,4,5,3,House,R2500,0,1685m²,1.0,406m²,
