price,bedrooms,bathrooms,parking space,Type of Property,Rates and Taxes,Pool,Erf Size,Pets Allowed,Floor Size,Levies
R 1 995 000,3,2,2,House,R1700,1,250m²,1.0,,R2050
R 5 500 000,12,5,2,House,,0,1762m²,,,
R 390 000,1,1,1,Apartment/Flat,,0,,0.0,72m²,R1099
R 22 900 000,4,4,4,House,R6000,1,10095m²,1.0,1200m²,R2000
R 4 150 000,3,3,4,House,R2900,1,1019m²,,,
R 1 285 000,2,2,2,Apartment/Flat,,1,,1.0,101m²,
R 550 000,0.5,1,,Apartment/Flat,R300,0,1898m²,0.0,46m²,R1430
R 5 950 000,5,3.5,2,House,R3812,1,1950m²,1.0,450m²,
R 3 650 000,3,3,10,House,R3065,1,2095m²,1.0,1m²,
R 2 200 000,,,,CommercialProperty,R1000,0,,,600m²,
R 1 449 000,4,2,3,House,R1513,1,822m²,,,
R 1 399 000,2,1,1,Apartment/Flat,R1028,1,,1.0,90m²,R2216
R 1 299 000,3,2,2,Townhouse,R600,0,,,137m²,R2375
R 1 285 000,6,3,2,House,,0,248m²,,,
R 4 450 000,4,2,7,House,R1155,1,,1.0,,
R 515 000,1,1,,Apartment/Flat,R300,1,995m²,0.0,38m²,R1500
R 4 900 000,4,2,4,House,R2300,1,1537m²,,,
R 2 200 000,2,1,,Apartment/Flat,,0,,0.0,130m²,
R 1 495 000,3,2.5,5,House,R700,1,564m²,1.0,,
R 380 000,1,1,,Apartment/Flat,R195,0,,0.0,43m²,R875
R 1 499 000,2,1,4,House,,0,485m²,,,
R 2 999 000,2,2,2,Apartment/Flat,,1,,0.0,143m²,
R 699 000,4,2.5,3,House,R304,0,649m²,,,
R 1 990 000,,,,IndustrialProperty,,0,300m²,,300m²,
R 695 000,2,1,4,Apartment/Flat,R144,0,2978m²,1.0,78m²,R1212
R 2 190 000,5,4,12,House,R1240,1,1487m²,1.0,650m²,
R 1 350 000,2,1,1,House,R767,0,495m²,,495m²,
R 2 500 000,2,2,2,Apartment/Flat,R1994,1,,,97m²,
R 385 000,2,2,,Apartment/Flat,,0,,0.0,108m²,R1900
R 749 000,1,1,1,Apartment/Flat,R552,1,37252m²,0.0,61m²,R1200
R 1 899 000,2,2,2,Apartment/Flat,R1250,0,,,146m²,R3460
R 1 499 000,4,2,5,House,R631,0,600m²,1.0,600m²,
R 1 500 000,,,,IndustrialProperty,,0,254m²,,254m²,
R 2 499 000,6,5,4,House,R700,0,566m²,,300m²,
R 3 375 000,2,1,,Apartment/Flat,,0,67.5m²,,67m²,R2500
R 3 699 999,4,3.5,3,House,R1670,1,991m²,1.0,991m²,
R 6 300 000,,,,IndustrialProperty,,0,9500m²,,1631m²,R6300000
R 560 000,2,1,1,Townhouse,,1,,0.0,,
R 675 000,2,1,1,Apartment/Flat,R150,0,51m²,,,R1200
R 1 899 000,3,2,3,House,,1,892m²,1.0,,
R 680 000,2,1,1,Apartment/Flat,,0,103m²,0.0,103m²,
R 2 450 000,,,,CommercialProperty,,0,1000m²,,271m²,R5238
R 2 190 000,4,3,4,House,R1265,1,1147m²,,,
R 1 499 000,2,3,2,Apartment/Flat,R620,1,,1.0,123m²,R1908
R 590 000,1,1,,Apartment/Flat,R1311,0,,0.0,58m²,R2415
R 20 000 000,,,,CommercialProperty,,0,,,,
R 8 500 000,,,,CommercialProperty,,0,2066m²,,,
R 948 000,1,1,1,Apartment/Flat,R484,0,,,101m²,R3200
R 7 450 000,4,4.5,3,House,R4500,1,1000m²,,,
R 1 800 000,13,5,4,House,R400,0,495m²,0.0,100m²,
R 2 290 000,3,2,2,House,R856,1,1383m²,1.0,240m²,
R 700 000,3,2,1,House,,0,,,,
R 735 000,3,1,5,Townhouse,R400,0,261m²,1.0,,R1743
R 1 680 000,2,2,2,Apartment/Flat,R1300,0,,,82m²,R2000
R 11 500 000,,,,IndustrialProperty,,0,1240m²,,1240m²,
R 2 999 000,3,3,4,House,R2965,0,495m²,1.0,,
R 1 630 000,3,2,5,House,R805,0,495m²,1.0,,
R 5 796 000,,,,CommercialProperty,,0,184m²,,184m²,
R 1 500 000,3,3,3,House,,0,,,,
R 1 899 000,2,2,2,Apartment/Flat,R1250,0,,0.0,146m²,R3410
R 16 000 000,4,4.5,5,House,R5400,1,3386m²,1.0,995m²,
R 2 499 000,3,3,3,House,,1,,,,
R 13 500 000,,,,CommercialProperty,,0,991m²,,2703m²,
R 4 388 500,,,,CommercialProperty,,0,131m²,,131m²,
R 790 000,2,1,1,Apartment/Flat,,0,1412m²,0.0,73m²,
R 480 000,1,1,,Apartment/Flat,R115,0,,0.0,35m²,R1663
POA,,,,IndustrialProperty,,0,400m²,,400m²,
R 5 399 000,,,,Townhouse,,0,,0.0,2184m²,
R 800 000,3,2.5,2,House,,1,600m²,1.0,248m²,
R 330 000,2,1,1,Apartment/Flat,,0,,0.0,92m²,R1358
R 730 000,,,,House,,0,,,64m²,R1300
R 1 250 000,3,2.5,2,Apartment/Flat,R800,1,5308m²,1.0,227m²,R2342
R 42 000 000,,,,IndustrialProperty,,0,6749m²,,6358m²,
R 70 000 000,,,,IndustrialProperty,,0,16000m²,,,
R 1 275 000,2,1,,Apartment/Flat,,1,,,101m²,
R 595 000,5,2,,Apartment/Flat,,0,,0.0,164m²,
R 1 439 000 - R 1 458 000,,,,,,0,,,,
R 480 000,1,1,1,Apartment/Flat,R450,0,,0.0,41m²,R906
R 530 000,2,1,3,Apartment/Flat,R361,0,,,67m²,R1600
R 490 000,1,1,,Apartment/Flat,R200,0,,,31m²,R1400
R 1 650 000,2,2,1,Apartment/Flat,R1089,0,,,88m²,R2150
R 677 000,,,,IndustrialProperty,R7300,0,129m²,,129m²,
R 370 000,1,1,1,Apartment/Flat,R345,0,,,76m²,R2000
R 70 000 000,6,6,5,House,,1,1500m²,,,R3000
R 1 200 000,2,1,1,Apartment/Flat,R300,0,499m²,0.0,85m²,R2000
R 1 399 000,3,2.5,4,House,R447,0,687m²,,,
R 1 189 000,3,2.5,1,House,R640,0,197m²,,236m²,R270
R 435 000,2,1,1,Apartment/Flat,,0,,0.0,99m²,R1200
R 483 840,,,,CommercialProperty,,0,8000m²,0.0,36m²,R958
R 590 000,2,1,,Apartment/Flat,,0,,0.0,52m²,R1600
R 575 000,2,1,2,Apartment/Flat,R1058,0,222m²,,65m²,R2913
R 1 130 000,8,2,2,House,R520,0,248m²,,,
R 1 550 000,,,,CommercialProperty,,0,,,,
R 5 499 000,4,3.5,8,House,,1,,1.0,,
R 1 490 000,3,2,4,House,,0,480m²,,,
R 695 000,2,1,4,House,,0,,,,
R 950 000,2,1,1,House,,1,71m²,,,
R 330 000,3,1.5,1,Apartment/Flat,R300,0,1486m²,,144m²,R3350
R 599 000,2,2,2,Apartment/Flat,R2049,0,,,,R3051
R 1 669 000,3,2,2,Apartment/Flat,R2152,1,,,88m²,
R 2 350 000,2,1,3,House,R1726,1,495m²,1.0,,
R 3 200 000,3,2.5,2,Apartment/Flat,R1871,1,,,255m²,R5501
R 850 000,2,1,2,Townhouse,R556,1,7588m²,0.0,71m²,
R 9 100 000,3,3.5,2,House,R5000,1,1525m²,1.0,525m²,
R 950 000,2,1,,Apartment/Flat,,0,,,74m²,
R 8 000 000,4,3,2,House,R4064,1,863m²,,,
R 3 590 000,3,3,2,House,R2800,1,989m²,1.0,,
R 420 000,2,2,1,Apartment/Flat,,0,,0.0,107m²,R1682
R 12 000 000,4,4.5,3,House,R6121,1,4490m²,,,
R 550 000,2,1,1,Townhouse,R263,0,1273m²,0.0,90m²,R1256
R 2 959 000,2,2,,Apartment/Flat,R991,1,,0.0,96m²,R2400
R 499 000,2,1,1,Apartment/Flat,R330,1,,0.0,58m²,R2008
R 7 400 000,3,3,2,Apartment/Flat,R4580,0,,,239m²,R7990
R 500 000,2,1,,Apartment/Flat,R200,0,499m²,1.0,59m²,R1300
R 2 790 000,,,,VacantLand/Plot,,0,,,,
R 5 700 000,2,2.5,2,Apartment/Flat,R1824,0,2028m²,1.0,233m²,R8605
POA,,,,CommercialProperty,,0,2000m²,,2000m²,
R 1 825 000,4,2,2,House,,0,898m²,,,
R 990 000,2,1,2,Townhouse,,0,,0.0,70m²,
R 1 995 000,1,1,,Apartment/Flat,R3000,0,,0.0,148m²,
R 1 150 000,1,1,3,Apartment/Flat,R700,1,,0.0,49m²,R2650
R 1 500 000,2,2,,House,R735,1,372m²,,137m²,
R 3 950 000,4,2.5,4,House,,0,1020m²,1.0,,
R 2 100 000,3,2,2,House,R708,1,743m²,1.0,,
R 1 350 000,3,2,3,House,,1,,1.0,652m²,
R 17 500 000,,,,CommercialProperty,,0,1027m²,,660m²,
R 520 000,1,1,,Apartment/Flat,,0,2790m²,,35m²,R900
R 2 100 000,1,1,,Apartment/Flat,R1500,1,,,45m²,R2300
R 770 000,3,1,3,House,R381,0,314m²,,,
R 2 495 000,5,5,2,House,R900,0,550m²,1.0,450m²,
R 1 250 000,3,2,2,House,,0,,,,
R 1 100 000,3,1.5,1,House,R545,0,495m²,,495m²,
R 625 000,2,1,,Townhouse,,1,,0.0,47m²,R1137
R 101 426,,,,CommercialProperty,R100,0,8000m²,0.0,9m²,R101
R 2 250 000,3,2.5,2,Apartment/Flat,,0,157m²,,157m²,
R 899 500,3,2,1,House,R450,0,161m²,,92m²,R270
R 590 000,2,1,,Apartment/Flat,,0,,0.0,52m²,R1600
R 2 795 000,3,2.5,6,House,,1,991m²,,,
R 2 300 000,2,2,1,Apartment/Flat,R1100,0,105m²,0.0,105m²,R2400
R 390 000,2,2,1,Apartment/Flat,R200,0,,0.0,110m²,R1000
R 8 000 000,,,,VacantLand/Plot,,0,2800m²,,,
R 1 580 000,0.5,1,1,Apartment/Flat,R1550,1,,0.0,43m²,R1944
R 1 399 000,3,2,2,Apartment/Flat,R650,1,106m²,,,R1300
R 800 000,3,1,2,Townhouse,,0,,,91m²,
R 950 000,4,2,4,House,R1800,0,351m²,0.0,212m²,
R 1 799 000,8,8,,House,,0,,,,
R 440 000,1,1,,Apartment/Flat,R215,0,,0.0,43m²,R1941
R 849 000,5,3.5,,House,R538,0,618m²,,,
R 4 950 000,,,,IndustrialProperty,,0,4000m²,,1765m²,
R 1 300 000,6,3,1,House,,0,495m²,,,
R 15 900 000,,,,CommercialProperty,R33026,0,3114ha,,85m²,
R 750 000,,,,IndustrialProperty,,0,,,,
R 550 000,3,1,2,House,R171,0,176m²,1.0,,
R 230 000,1,1.5,1,Apartment/Flat,,0,,0.0,67m²,R1420
R 700 000,2,1,,House,,0,372m²,,,
R 1 099 999,1,1,,Apartment/Flat,R905,0,,,82m²,R3064
R 950 000,1,1,1,Apartment/Flat,R2000,0,983m²,0.0,133m²,
R 2 100 000,3,1,1,House,,0,,0.0,,
R 750 000,3,1,2,Apartment/Flat,,0,,,66m²,
R 780 000,2,2,2,Townhouse,R376,1,,,103m²,R2000
R 1 499 000,3,2,1,Apartment/Flat,,0,,1.0,182m²,
R 1 425 000,3,2,2,Apartment/Flat,,0,1981m²,1.0,98m²,R3211
R 1 199 000,3,2,4,House,R400,0,380m²,1.0,190m²,
R 330 000,1,1,1,Apartment/Flat,,1,,,,
R 690 000,2,1,1,Apartment/Flat,R814,0,,0.0,50m²,R2300
R 2 600 000,3,2,3,House,R1416,0,496m²,1.0,1m²,
R 15 550 000,,,,CommercialProperty,,0,,,7000m²,
R 418 000,3,1,1,Apartment/Flat,R162,0,80m²,,,R1250
R 400 000,1,1,1,Apartment/Flat,,0,,0.0,41m²,
R 800 000,2,1,,House,,0,536m²,,,
R 650 000,3,1,,Townhouse,,0,,0.0,57m²,
R 550 000,,,,House,,0,,,,
R 485 000,,,,VacantLand/Plot,R203,0,1404m²,,,
R 870 000,2,1,1,Apartment/Flat,R650,1,,1.0,85m²,R1800
R 580 000,2,1,1,Townhouse,R289,1,,1.0,44m²,R1275
R 1 750 000,4,2,2,House,R645,0,822m²,1.0,,
R 2 499 900 - R 3 099 900,,,,,,0,,,,
