price,Type of Property,Pets Allowed,Pool,bedrooms,bathrooms,parking space,Erf Size,Floor Size,Levies,Rates and Taxes
R 2 800 000,House,0.0,1,5,4,4,1142m²,,,R3400
R 17 000 000,House,,0,,,,,,,
R 1 500 000,Apartment/Flat,,0,3,1.5,,,127m²,R2003,R970
R 430 000,Apartment/Flat,0.0,1,,1,,,26m²,,
R 1 400 000,House,,0,13,6,6,495m²,,,
R 3 200 000,House,,0,,2,1,990m²,990m²,,R1000
R 850 000,Townhouse,0.0,0,2,1,1,74m²,,R1150,R215
R 1 650 000,House,1.0,1,4,2.5,2,495m²,300m²,,R805
R 8 995 000,House,0.0,1,4,3.5,4,2023m²,,,R5359
R 599 000 - R 750 000,,,0,,,,,,,
R 2 700 000,House,1.0,1,5,5,2,2032m²,,,R1000
R 2 495 000,Apartment/Flat,0.0,1,3,3,1,,174m²,,
R 700 000,CommercialProperty,,0,,,,84m²,,,
R 1 190 000,Townhouse,,1,3,2,4,,,,
R 3 950 000,House,1.0,0,3,2.5,4,2130m²,,,
R 2 600 000,House,,1,3,3.5,2,495m²,,,
R 2 400 000,House,1.0,1,4,2,2,991m²,,,R1200
R 2 950 000,House,,1,4,3.5,4,496m²,,,
R 7 450 000,House,,0,4,4,1,691m²,,,
R 550 000,Townhouse,0.0,1,2,1.5,,,87m²,,
R 2 750 000,Apartment/Flat,,1,2,2,2,,153m²,,
R 580 000,Apartment/Flat,,1,1,1,1,6302m²,58m²,R900,
R 449 000,Apartment/Flat,1.0,0,2,1,1,501m²,88m²,R2000,R480
R 1 500 000,House,1.0,1,3,2,4,2091m²,,,R1300
R 2 470 000,House,,0,3,3,10,990m²,,,
R 950 000,Townhouse,,1,3,2,1,,,,
R 7 000 000,House,1.0,1,4,4,4,3789m²,,,
R 699 000,Apartment/Flat,0.0,1,1,1,1,,45m²,R980,R385
R 4 990 000,,,0,,,,,,,
R 3 899 000,Townhouse,1.0,1,5,3,2,,,,
R 5 900 000,Apartment/Flat,0.0,0,3,2.5,2,,260m²,R6536,R754
R 600 000,House,,0,4,1,5,488m²,,,R697
R 530 000,Apartment/Flat,0.0,1,0.5,1,,6354m²,32m²,R1000,R300
R 1 090 000,House,,0,3,1,6,495m²,,,
R 1 299 000,Apartment/Flat,,0,3,2,,,106m²,R1350,R343
R 5 752 500,Farm,1.0,1,,,,,,,R2338
R 1 750 000,House,,1,2,1.5,1,495m²,240m²,,R895
