price,Type of Property,Pool,bedrooms,bathrooms,parking space,Erf Size,Pets Allowed,Floor Size,Levies,Rates and Taxes
R 1 600 000,Apartment/Flat,0,2,1,2,,0.0,138m²,,
R 3 050 000,VacantLand/Plot,0,,,,977m²,,,,
R 16 000 000,House,0,,,,,,,,
R 1 100 000,Townhouse,0,3,2,2,,,,R4000,R213
POA,House,0,,,,,,,,
R 2 850 000,House,1,3,2,5,991m²,,,,
R 5 500 000,CommercialProperty,0,,,,,,,,
R 1 800 000,House,0,7,7,1,,,,,
R 800 000,House,0,4,2,,418m²,,,,
R 850 000,House,0,5,1.5,,,,,,
R 1 995 000,House,0,4,3,3,498m²,,,,
R 1 050 000,House,0,11,2,,248m²,,,,
R 3 310 000,Apartment/Flat,1,2,3,3,,,,R6260,R2606
R 2 200 000,House,1,3,,4,933m²,,,,
R 1 250 000,House,0,7,7,,,0.0,,,
R 1 900 000,Farm,0,,,,,,,,
R 900 000,House,0,,,,,,,,
R 8 000 000,CommercialProperty,0,,,,742m²,,,,
R 4 770 000,,0,,,,,,,,
R 7 495 000,House,1,3,2,3,3965m²,1.0,,,R3200
R 520 000,Apartment/Flat,1,1,1,,,,,,
R 645 000,Townhouse,0,3,1,,,0.0,,,
R 17 900 000,Apartment/Flat,1,4,4.5,3,,,,,
R 800 000,Apartment/Flat,1,2,1,1,,,,,
R 505 000,Apartment/Flat,0,1,1,1,,,35m²,,
R 2 000 000,House,0,4,3,2,478m²,,,,
R 365 000,Apartment/Flat,1,2,2,1,,,,,
R 3 290 000,CommercialProperty,0,,,,991m²,,,,
R 5 200 000,CommercialProperty,0,,,,496m²,,498m²,,
R 5 500 000,CommercialProperty,0,,,,495m²,,1200m²,,
R 9 000 000,Apartment/Flat,0,,,,991m²,,8000m²,,
R 375 000,Apartment/Flat,0,1,1,,,,,R875,
R 1 895 000,Apartment/Flat,0,4,3,2,197m²,,,,
R 435 000,Apartment/Flat,0,,1,,2478m²,,35m²,R850,R900
R 549 000,Apartment/Flat,0,2,1,,,0.0,,,
R 3 500 000,House,0,5,3,6,,,,,
R 450 000,Apartment/Flat,0,2,1,1,,,,,
R 1 400 000,House,0,3,2,2,1073m²,,,,
R 2 499 900 - R 3 099 900,,0,,,,,,,,
R 5 950 000,House,0,,,,,,,,
R 360 000,Apartment/Flat,0,2,1,1,,,,,
R 1 150 000,Apartment/Flat,0,3,2,2,,,,,
R 480 000,Apartment/Flat,0,2,1,,,0.0,,R2300,
R 17 200 000,House,0,18,18,,22211m²,,,,
R 1 000 000,House,0,7,3,,495m²,1.0,,,R550
R 7 300 000,House,0,13,10,20,24500m²,,,,
R 870 000,Townhouse,1,2,1,3,,,116m²,,
R 7 400 000,House,1,4,4,9,2974m²,,,,
R 1 899 000,Apartment/Flat,0,2,2,2,,0.0,120m²,R3100,
R 13 500 000,House,1,4,2,6,32375m²,,,,
R 4 100 000,Apartment/Flat,1,2,2.5,2,,0.0,,,
R 675 000,Apartment/Flat,0,3,2,1,,0.0,135m²,,R1095
R 1 795 000,House,0,3,2,2,480m²,,,,
R 7 500 000,House,0,,,,,,,,
R 300 000,House,0,2,1,,252m²,0.0,,,R121
R 750 000,House,0,,,,,,,,
R 745 000,Townhouse,1,3,1,2,2678m²,1.0,70m²,R890,R450
R 2 000 000,VacantLand/Plot,0,,,,,,,,
R 550 000,Apartment/Flat,0,3,1,3,,,,,
R 1 575 000,,0,,,,,,,,
R 2 699 000,House,0,7,5,6,,,,,
R 1 250 000,House,0,5,3,5,,,,,
R 2 250 000,Apartment/Flat,0,3,2,1,,,,,
R 400 000,Apartment/Flat,0,,1,,,,30m²,,
R 529 000,Apartment/Flat,0,1,1,1,,0.0,43m²,R1299,
R 550 000,Apartment/Flat,0,3,1,,,,,,
R 5 900 000,House,0,3,3.5,2,495m²,,,,
R 2 200 000,House,1,3,3,5,1318m²,,,,
R 1 600 000,House,0,,,,,,,,
POA,IndustrialProperty,0,,,,,,306m²,,
R 3 500 000,CommercialProperty,0,,,,,,,,
R 1 100 000,House,0,11,3,5,1025m²,,,,
R 32 000 000,Apartment/Flat,0,97,10,,248m²,,,,
R 2 800 000,VacantLand/Plot,0,,,,11575m²,1.0,,,
R 1 100 000,House,0,10,1,,,,,,
R 3 000 000,IndustrialProperty,0,,,,2355m²,,2355m²,,
R 1 500 000,House,0,4,2,1,1600m²,,,,
R 530 000,House,0,3,1,1,,,,,
R 780 000,House,0,2,1,3,,,,,
R 70 000 000,IndustrialProperty,0,,,,,,,,
R 420 000,House,0,1,1,1,,,43m²,,R1620
R 1 950 000,Apartment/Flat,0,2,2,1,,0.0,105m²,R1945,R1252
R 980 000,Apartment/Flat,0,,,,,,,,
R 950 000,VacantLand/Plot,0,,,,597m²,0.0,,,R650
R 8 000 000,House,0,24,8,,,,,,
R 800 000,House,0,3,1,2,260m²,1.0,,,
R 8 495 000,House,0,3,3,2,2974m²,,,,
